mfId,name,rank,score,data_days,cagr_1y,cagr_3y,cagr_5y,volatility,sortino,alpha,beta,p1_forward_alpha,p1_regime_capture_spread,p1_score,p2_shrunk_alpha,p2_shrink_lambda,p2_personal_stability,p2_block_alpha_n,p2_score,p3_sip_xirr_p50,p3_sip_xirr_p25,p3_sip_hit_vs_bench,p3_sip_n_windows,p3_score,p4_cdar5,p4_recovery_half_w,p4_dn_up_vol,p4_skew,p4_score,p5_top10_conc,p5_n_holdings,p5_avg_change3m,p5_aum_haircut,p5_score,aum,data_weeks,confidence
M_INMI,Invesco India Midcap Fund,1,83.64,4950,10.85,26.05,20.78,16.71,1.175,4.57,0.881,4.28,0.442,86.72,3.98,0.730,0.042,10,86.99,21.23,4.74,59.15,164,81.72,-19.24,11.00,1.072,-0.230,74.57,,,,1.000,,13766.86,708,1.000
M_WOCD,WOC Mid Cap Fund,2,80.76,1415,15.77,23.84,,15.01,1.094,5.83,0.885,3.63,0.263,76.56,5.94,0.916,0.060,7,96.78,21.85,11.42,86.49,37,98.45,-15.08,11.00,1.154,-0.373,71.12,,,,1.000,,5732.44,203,0.950
M_HDCMS,HDFC Mid Cap Fund,3,72.39,4943,5.18,19.94,20.24,16.29,0.793,3.80,0.874,3.41,0.616,76.56,3.58,0.914,0.035,10,82.74,19.48,5.06,65.85,164,82.59,-22.51,14.00,1.168,-0.446,35.26,,,,0.650,,100858.31,707,1.000
M_HEIP,Helios Mid Cap Fund,4,71.59,491,16.06,,,15.75,0.691,9.47,0.929,5.10,1.483,100.00,4.07,0.306,,2,87.50,10.11,3.11,100.00,4,,-13.76,2.00,0.853,0.430,,,,,1.000,,1793.33,71,0.750
M_KORY,Kotak Midcap Fund,5,70.41,4950,9.45,20.68,18.09,16.32,0.845,3.86,0.868,3.66,0.535,85.94,2.61,0.745,0.025,10,61.22,17.80,6.59,67.68,164,79.14,-23.99,13.00,1.164,-0.416,34.83,,,,0.650,,67611.0,708,1.000
M_EDME,Edelweiss Mid Cap Fund,6,65.93,4943,7.35,23.69,19.66,17.24,0.966,4.36,0.921,2.85,0.450,64.06,3.00,0.850,0.029,10,74.11,18.25,4.32,70.12,164,76.90,-23.26,14.00,1.104,-0.320,44.74,,,,0.950,,17748.32,707,1.000
M_LTIU,HSBC Midcap Fund,7,64.8,4950,19.29,24.93,19.18,16.61,1.042,3.69,0.881,3.59,0.342,74.22,3.05,0.722,0.030,10,77.33,19.85,2.89,59.76,164,69.14,-24.38,16.00,1.209,-0.472,20.34,,,,0.950,,15351.91,708,1.000
M_JMDL,JM Midcap Fund,8,62.38,1338,11.27,21.60,,16.89,0.889,4.15,0.976,2.96,0.167,61.72,3.49,0.532,0.040,7,81.58,13.50,3.56,62.86,35,42.07,-17.83,11.00,1.035,-0.084,85.09,,,,1.000,,1274.52,192,0.950
M_UNIA,Union Midcap Fund,9,61.97,2311,11.66,19.01,16.88,16.54,0.760,3.91,0.878,2.90,-0.433,53.12,1.29,0.852,0.010,10,39.70,18.19,8.93,58.57,70,80.17,-16.04,11.00,1.022,-0.096,88.02,,,,1.000,,1846.92,331,1.000
M_QUTD,Quant Mid Cap Fund,10,61.47,4943,5.34,14.36,17.04,15.19,0.502,2.77,0.689,3.83,0.994,93.75,1.61,0.489,0.007,10,47.41,12.22,0.40,47.24,163,9.66,-20.53,8.00,1.121,-0.189,73.97,,,,1.000,,8138.18,707,1.000
M_AXMI,Axis Midcap Fund,11,60.18,4950,7.95,18.10,14.89,15.43,0.743,3.14,0.803,2.16,0.731,60.16,0.60,0.712,-0.001,10,30.15,18.30,5.15,53.66,164,72.07,-18.98,9.00,1.059,-0.101,84.40,,,,0.850,,33803.0,708,1.000
M_CAMR,Canara Rob Mid Cap Fund,12,58.1,1331,8.14,19.33,,15.55,0.821,1.78,0.901,2.05,0.177,41.41,2.67,0.760,0.026,7,67.66,17.70,6.11,54.29,35,68.79,-17.80,11.00,1.021,-0.004,88.36,,,,1.000,,4835.69,191,0.950
