mfId,name,rank,score,data_days,cagr_1y,cagr_3y,cagr_5y,alpha_1y,beta_1y,info_1y,sortino_1y,up_capture_1y,down_capture_1y,capture_spread_1y,bear_excess_1y,high_vol_excess_1y,max_drawdown_2y,ulcer_2y,recovery_speed_2y,rolling_beat_rate_2y,rolling_alpha_stability_2y,rolling_active_ir_2y,momentum_3m_rel,momentum_6m_rel,momentum_12_1_rel,overheat_penalty,volatility_1y,aum,data_weeks,history_years,history_reliability,market_regime
M_ICPID,ICICI Pru Midcap Fund,1,84.7,4851,28.31,27.90,22.36,12.31,1.028,2.790,1.257,1.169,0.886,0.283,0.16,0.17,20.25,6.98,0.336,77.22,0.57,0.910,5.20,6.53,11.00,0.00,17.92,6568.77,694,13.28,1.000,high_vol
M_NIGW,Nippon India Growth Mid Cap Fund,2,77.6,4851,16.15,27.55,24.11,2.85,0.920,0.527,0.636,0.945,0.862,0.084,0.20,-0.08,19.41,6.32,0.383,78.48,0.60,0.836,3.04,1.80,3.27,0.00,16.04,39676.13,694,13.28,1.000,high_vol
M_WOCD,WOC Mid Cap Fund,3,76.8,1316,20.08,28.53,,6.74,0.818,0.999,1.000,0.913,0.731,0.182,0.39,-0.30,18.45,6.38,0.359,79.75,0.75,0.993,0.97,-0.04,3.85,0.00,14.49,4490.64,189,3.60,0.940,high_vol
M_LTIU,HSBC Midcap Fund,4,74.96,4851,23.26,27.89,20.27,8.90,0.921,1.351,1.175,1.006,0.778,0.228,0.32,0.10,24.89,8.82,0.175,69.62,0.57,0.363,5.44,2.36,6.84,0.00,16.65,11341.83,694,13.28,1.000,high_vol
M_INMI,Invesco India Midcap Fund,5,73.55,4851,17.18,28.25,23.22,3.11,1.059,0.630,0.657,1.028,0.940,0.088,0.09,-0.04,19.15,6.69,0.400,81.01,0.81,0.894,0.08,-4.15,2.91,0.00,18.72,9895.34,694,13.28,1.000,high_vol
M_KORY,Kotak Midcap Fund,6,73.48,4851,17.61,23.41,20.69,4.27,0.894,0.684,0.786,0.918,0.790,0.128,0.30,-0.10,20.27,6.52,0.514,60.76,0.46,0.443,2.60,-1.59,2.68,0.00,15.82,55675.98,694,13.28,1.000,high_vol
M_HDCMS,HDFC Mid Cap Fund,7,69.98,4851,14.96,25.61,23.10,2.45,0.805,0.172,0.614,0.857,0.776,0.082,0.32,-0.36,16.38,5.53,0.514,89.87,0.64,1.333,-1.87,-0.26,2.15,0.00,14.29,85357.92,694,13.28,1.000,high_vol
M_UNIA,Union Midcap Fund,8,67.96,2212,16.42,22.93,20.15,3.24,0.896,0.477,0.706,0.920,0.821,0.099,0.26,-0.23,20.65,7.03,0.383,70.89,0.47,0.642,1.94,-0.67,2.92,0.00,15.87,1652.42,317,6.06,1.000,high_vol
M_EDME,Edelweiss Mid Cap Fund,9,66.57,4851,14.40,27.61,23.22,1.62,0.871,0.120,0.525,0.907,0.854,0.053,0.21,-0.25,19.40,6.27,0.368,81.01,0.63,0.750,0.07,-0.08,1.96,0.00,15.43,14355.22,694,13.28,1.000,high_vol
M_BNMP,Baroda BNP Paribas Mid Cap Fund,10,66.22,4851,15.41,23.40,19.91,2.98,0.779,0.218,0.698,0.800,0.686,0.114,0.45,-0.24,18.56,6.64,0.458,64.56,0.41,0.263,2.54,3.55,2.05,0.50,13.91,2128.94,694,13.28,1.000,high_vol
M_MIAI,Mirae Asset Midcap Fund,11,65.41,2450,17.94,22.47,19.68,4.35,0.924,0.986,0.730,0.974,0.859,0.115,0.20,-0.23,22.41,7.99,0.383,55.70,0.43,0.433,-1.66,-1.65,4.80,0.00,16.00,16193.93,351,6.71,1.000,high_vol
M_SUNIU,Sundaram Mid Cap Fund,12,63.37,4851,14.53,25.93,21.50,1.72,0.867,0.152,0.571,0.901,0.844,0.058,0.22,-0.23,20.14,6.77,0.346,81.01,0.58,0.730,0.92,-0.44,1.85,0.00,15.17,11898.19,694,13.28,1.000,high_vol
M_CAMR,Canara Rob Mid Cap Fund,13,63.28,1232,17.02,22.56,,3.62,0.922,0.602,0.748,0.941,0.834,0.107,0.24,-0.09,21.11,7.60,0.419,53.16,0.36,0.340,1.30,-1.92,1.64,0.00,16.30,3879.59,177,3.37,0.930,high_vol
M_HEIP,Helios Mid Cap Fund,14,58.55,392,17.47,,,4.04,0.923,0.623,0.743,0.977,0.873,0.104,0.18,-0.32,,,,64.52,0.75,0.647,-0.64,-4.17,5.45,0.00,16.47,1227.83,57,1.07,0.828,high_vol
M_DSPMU,DSP Midcap Fund,15,54.09,4851,15.43,21.64,15.63,2.33,0.903,0.352,0.626,0.913,0.835,0.078,0.24,-0.20,20.90,7.10,0.200,48.10,0.31,0.192,0.11,-0.34,1.24,0.00,15.79,17491.9,694,13.28,1.000,high_vol
M_MANC,Mahindra Manulife Mid Cap Fund,16,53.06,2996,14.67,26.97,22.73,1.90,0.865,0.156,0.534,0.929,0.877,0.052,0.18,-0.27,20.87,7.70,0.200,45.57,0.26,-0.023,1.83,3.29,0.83,1.00,15.43,4098.63,429,8.20,1.000,high_vol
M_TAMW,Tata Mid Cap Fund,17,50.59,4851,14.55,23.39,19.38,2.04,0.811,0.115,0.575,0.874,0.809,0.065,0.27,-0.31,21.22,7.89,0.290,43.04,0.24,-0.044,-0.51,1.40,1.79,0.00,14.22,4992.84,694,13.28,1.000,high_vol
M_ITMA,ITI Mid Cap Fund,18,47.75,1869,13.85,26.66,19.57,0.85,0.927,0.056,0.505,0.961,0.938,0.023,0.09,-0.25,22.35,8.23,0.290,34.18,0.20,-0.230,-0.10,0.65,0.13,0.00,16.40,1183.91,268,5.12,1.000,high_vol
M_AXMI,Axis Midcap Fund,19,44.62,4851,13.12,21.47,17.45,0.65,0.838,-0.111,0.491,0.844,0.800,0.044,0.29,-0.23,19.43,6.88,0.200,55.70,0.35,0.232,3.00,-1.32,0.28,2.72,14.87,28834.54,694,13.28,1.000,high_vol
M_IDCCL,Bandhan Midcap Fund,20,39.28,1337,14.13,22.86,,1.15,0.920,0.099,0.509,0.904,0.852,0.052,0.21,-0.30,22.16,8.21,0.200,44.30,0.30,0.027,3.75,-3.15,-0.14,3.89,16.37,1840.78,192,3.66,0.942,high_vol
M_ADTMI,Aditya Birla SL Midcap Fund,21,34.96,4851,11.55,21.97,18.97,-1.07,0.894,-0.445,0.336,0.868,0.869,-0.001,0.19,-0.26,21.63,8.56,0.200,41.77,0.24,-0.008,-0.33,-0.82,-2.31,1.98,15.56,5493.37,694,13.28,1.000,high_vol
M_JMDL,JM Midcap Fund,22,32.28,1239,8.54,25.69,,-4.15,0.969,-0.901,0.135,0.955,1.060,-0.105,-0.09,-0.16,21.60,8.71,0.200,31.65,0.04,-0.627,2.04,-4.49,-3.77,5.80,17.06,1020.25,178,3.39,0.931,high_vol
M_FRRN,Franklin India Mid Cap Fund,23,30.83,4851,6.40,22.35,18.06,-5.64,0.860,-1.560,-0.007,0.826,0.945,-0.119,0.08,-0.29,18.01,6.34,0.316,37.97,0.32,0.104,-2.68,-3.71,-5.20,2.53,14.95,10899.4,694,13.28,1.000,high_vol
M_PGDO,PGIM India Midcap Fund,24,28.82,4515,6.84,15.71,16.44,-5.13,0.854,-1.129,0.025,0.795,0.889,-0.094,0.16,-0.27,18.81,7.10,0.419,55.70,0.31,-0.077,-0.06,-6.16,-5.29,5.23,15.23,9680.98,646,12.36,1.000,high_vol
M_UTIMP,UTI Mid Cap Fund,25,28.41,4851,11.28,18.83,16.65,-1.21,0.872,-0.539,0.325,0.867,0.877,-0.009,0.18,-0.24,22.56,9.00,0.200,29.11,0.08,-0.410,-0.31,-2.56,-2.25,1.95,15.12,10481.86,694,13.28,1.000,high_vol
M_SBIAU,SBI Midcap Fund,26,27.39,4851,5.08,17.55,17.94,-6.79,0.846,-1.630,-0.098,0.831,0.988,-0.156,0.02,-0.24,17.49,7.41,0.200,41.77,0.06,-0.345,-0.14,0.16,-7.13,6.99,14.86,23154.23,694,13.28,1.000,high_vol
M_IDIC,LIC MF Midcap Fund,27,25.9,3367,9.76,22.03,16.41,-2.83,0.926,-0.721,0.211,0.876,0.922,-0.046,0.11,-0.24,20.94,8.41,0.200,25.32,0.04,-0.452,0.34,-3.22,-6.48,6.82,16.28,300.89,482,9.22,1.000,high_vol
M_MOLS,Motilal Oswal Midcap Fund,28,20.76,4431,2.92,23.88,25.50,-8.98,0.918,-1.143,-0.192,0.828,1.028,-0.200,-0.04,-0.61,26.85,12.29,0.500,35.44,0.19,-0.054,-4.94,-12.26,-13.48,8.53,17.57,31046.66,634,12.13,1.000,high_vol
M_TACV,Taurus Mid Cap Fund,29,15.38,4851,5.44,16.23,14.39,-6.43,0.863,-1.101,-0.077,0.834,0.978,-0.144,0.03,-0.24,23.82,10.24,0.200,16.46,-0.19,-1.114,-1.76,-5.61,-6.10,4.34,15.91,108.95,694,13.28,1.000,high_vol
M_QUTD,Quant Mid Cap Fund,30,13.57,4844,1.35,18.46,20.42,-10.00,0.791,-1.616,-0.383,0.700,0.906,-0.206,0.14,-0.27,24.61,14.10,0.200,1.27,-0.66,-1.791,4.69,-1.94,-11.04,15.73,14.73,7001.82,693,13.26,1.000,high_vol
