mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_xirr_median,sip_xirr_p25,latest_sip_xirr,sip_alpha_hit_rate,alpha_consistency,information_ratio,up_capture,down_capture,downside_beta,drawdown_control,recovery_strength,correction_defense,momentum_quality,omega_ratio,sortino_3y,ulcer_index,cdar_5,max_drawdown_3y,current_drawdown,style_purity,aum_score,confidence,aum,history_years,n_sip_windows
M_HDCMS,HDFC Mid Cap Fund,1,76.19,True,1825,17.52,18.98,24.18,14.47,10.67,1.0,0.7106,0.6001,0.9309,0.8336,0.8986,83.24,-14.6,19.57,0.0312,1.3282,0.7965,4.7646,-14.28,-16.76,-2.96,0.7155,0.8152,0.9903,108324.55,4.9966,37
M_EDME,Edelweiss Mid Cap Fund,2,75.81,True,1825,21.4,18.68,25.03,16.74,10.77,0.7297,0.7149,0.639,0.9757,0.8963,0.9279,79.94,-10.18,14.64,0.1171,1.3105,0.9554,5.4924,-17.03,-20.06,-2.55,0.8475,1.0,0.9995,19891.0,4.9966,37
M_WOCD,WOC Mid Cap Fund,3,74.49,True,1466,22.4,,21.24,14.66,16.15,1.0,0.7337,1.0354,0.9862,0.8402,0.9299,80.67,-16.43,19.56,0.5633,1.4661,1.0242,5.5363,-16.64,-19.33,-2.13,0.742,1.0,0.7877,7485.37,4.0137,25
M_INMI,Invesco India Midcap Fund,4,74.24,True,1825,23.89,20.06,27.72,17.81,15.04,0.7027,0.6085,0.7312,0.9873,0.8849,0.96,79.93,0.26,11.87,0.3862,1.3339,1.1078,5.9929,-17.31,-20.07,-2.14,0.6997,1.0,0.9995,15905.31,4.9966,37
M_NIGW,Nippon India Growth Mid Cap Fund,5,69.59,True,1825,18.49,18.17,24.1,12.89,10.14,0.9459,0.7489,0.5643,0.9609,0.8901,0.978,80.13,-10.82,12.77,0.0328,1.2934,0.8008,5.5418,-16.89,-19.87,-2.69,0.9212,0.9579,0.9974,52270.55,4.9966,37
M_SUNIU,Sundaram Mid Cap Fund,6,69.14,True,1825,18.52,16.88,24.14,14.46,9.93,0.7027,0.6553,0.255,0.931,0.8765,0.9269,79.31,-13.91,17.76,0.0706,1.2723,0.8229,5.8918,-17.56,-20.69,-3.21,0.8357,1.0,0.9995,14863.43,4.9966,37
M_MOLS,Motilal Oswal Midcap Fund,7,66.6,True,1825,19.32,22.04,29.79,14.59,3.26,0.7027,0.566,0.5769,0.986,0.8472,0.8476,71.14,-14.63,24.73,0.4617,1.3488,0.7503,11.7763,-24.85,-28.86,-7.34,0.6186,0.9959,0.9993,42851.59,4.9966,37
M_LTIU,HSBC Midcap Fund,8,65.71,True,1825,24.79,19.2,22.18,15.64,19.01,0.7838,0.617,0.5815,0.9755,0.8806,1.0813,74.04,-4.31,8.99,0.8114,1.3189,1.0343,7.9361,-23.14,-25.96,-1.85,0.8587,1.0,0.9995,17188.24,4.9966,37
M_BNMP,Baroda BNP Paribas Mid Cap Fund,9,64.2,True,1825,17.43,15.61,20.31,11.38,10.62,0.5405,0.5532,-0.0167,0.8957,0.8564,0.8978,81.36,-14.0,18.28,0.1764,1.2483,0.7796,5.5852,-16.07,-18.64,-2.24,0.8315,0.9902,0.999,2584.12,4.9966,37
M_ICPID,ICICI Pru Mid Cap Fund,10,63.24,True,1825,21.66,17.75,20.93,14.14,16.4,0.6216,0.634,0.419,0.9884,0.9347,0.9861,78.73,-2.98,8.46,0.2114,1.2719,0.9093,6.0047,-17.92,-21.27,-3.65,0.8636,1.0,0.9995,8403.3,4.9966,37
