mfId,name,rank,score,data_days,aum,cagr_3y,win_rate,max_dd,sortino,asym,appraisal,r2
M_WOCD,WOC Mid Cap Fund,1,72.9,1465,7485.368,21.67%,100.0%,-19.33%,1.163,1.203,0.429,0.168
M_IDCCL,Bandhan Mid Cap Fund,2,59.35,1485,2581.2855,18.04%,76.0%,-22.71%,0.533,0.948,-0.842,0.184
M_MANC,Mahindra Manulife Mid Cap Fund,3,54.45,1824,5406.3662,17.58%,97.22%,-20.92%,0.44,0.948,-0.807,0.167
M_CAMR,Canara Rob Mid Cap Fund,4,47.48,1379,5231.0251,16.91%,90.48%,-21.24%,1.191,1.105,-1.095,0.206
M_UNIA,Union Midcap Fund,5,45.16,1824,2005.3096,16.48%,50.0%,-21.26%,-0.053,0.829,-0.173,0.169
M_JMDL,JM Mid Cap Fund,6,43.35,1390,1360.2918151309998,18.34%,72.73%,-22.54%,0.866,1.034,-1.601,0.181
M_ICPID,ICICI Pru Mid Cap Fund,7,41.08,1824,8403.298759516201,20.93%,63.89%,-21.27%,-0.195,0.796,-0.682,0.156
M_ITMA,ITI Mid Cap Fund,8,39.85,1824,1539.2048000000002,19.94%,80.56%,-22.66%,-0.196,0.795,-0.9,0.139
M_LTIU,HSBC Midcap Fund,9,33.42,1824,17188.237,24.22%,80.56%,-25.96%,0.161,0.882,-0.66,0.112
M_BNMP,Baroda BNP Paribas Mid Cap Fund,10,29.68,1824,2584.1244,16.84%,58.33%,-18.64%,-0.436,0.745,-0.646,0.15
M_DSPMU,DSP Midcap Fund,11,28.71,1824,21018.5385,13.53%,33.33%,-22.46%,0.184,0.894,-0.595,0.187
M_ADTMI,Aditya Birla SL Midcap Fund,12,27.46,1824,6722.775799999999,14.68%,36.11%,-21.87%,-0.304,0.775,-1.108,0.203
M_IDIC,LIC MF Midcap Fund,13,27.25,1824,392.1249,16.18%,47.22%,-24.94%,-0.726,0.68,-1.776,0.181
M_TAMW,Tata Mid Cap Fund,14,26.84,1824,6056.4262093579,14.56%,44.44%,-21.22%,-0.341,0.77,-1.413,0.19
M_QUTD,Quant Mid Cap Fund,15,26.22,1824,8055.583100000001,11.15%,38.89%,-25.95%,-0.552,0.713,-2.781,0.098
M_MOLS,Motilal Oswal Midcap Fund,16,25.94,1824,42851.5937,18.45%,72.22%,-28.86%,0.06,0.865,-0.627,0.189
M_SUNIU,Sundaram Mid Cap Fund,17,25.68,1824,14863.429329,17.76%,72.22%,-20.69%,0.223,0.898,-1.292,0.193
M_INMI,Invesco India Midcap Fund,18,23.1,1824,15905.311000000002,23.23%,72.22%,-20.07%,-0.072,0.822,-0.567,0.233
M_TACV,Taurus Mid Cap Fund,19,21.47,1824,139.8509,8.93%,5.56%,-23.93%,-1.409,0.555,-2.847,0.126
M_HDCMS,HDFC Mid Cap Fund,20,19.92,1824,108324.5467,16.79%,100.0%,-16.96%,0.179,0.888,-1.596,0.183
M_NIGW,Nippon India Growth Mid Cap Fund,21,19.41,1824,52270.551900000006,17.72%,97.22%,-19.87%,-0.016,0.838,-1.453,0.21
M_MIAI,Mirae Asset Midcap Fund,22,19.1,1824,20891.685,15.65%,38.89%,-22.54%,0.119,0.877,-0.744,0.217
M_FRRN,Franklin India Mid Cap Fund,23,17.03,1824,12870.789233447,15.01%,50.0%,-23.88%,-0.303,0.777,-2.171,0.19
M_KORY,Kotak Mid Cap Fund,24,16.72,1824,71256.2576,17.11%,63.89%,-20.87%,-0.268,0.785,-1.43,0.206
M_AXMI,Axis Midcap Fund,25,16.39,1824,35425.0678,16.05%,50.0%,-20.34%,-0.353,0.769,-0.593,0.173
M_EDME,Edelweiss Mid Cap Fund,26,16.1,1824,19890.9984,20.59%,75.0%,-20.06%,-0.378,0.754,-0.889,0.16
M_UTIMP,UTI Mid Cap Fund,27,11.97,1824,12795.441,11.59%,0.0%,-22.66%,-0.448,0.742,-1.137,0.193
M_HEIP,Helios Mid Cap Fund,28,6.9,543,1951.3654,0.0%,0.0%,-16.74%,2.362,1.947,-0.694,0.176
M_PGDO,PGIM India Midcap Fund,29,6.61,1824,11217.6728,10.95%,13.89%,-19.5%,-0.727,0.684,-1.05,0.177
M_SBIAU,SBI Midcap Fund,30,5.06,1824,24353.7706,10.28%,0.0%,-17.88%,-0.52,0.732,-1.051,0.21
M_BANOU,Bank of India Mid Cap Fund,31,0.88,382,766.5986,0.0%,0.0%,-12.49%,-0.875,0.661,-1.157,0.096
