mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,style_purity,style_drift,swing_elasticity,upside_capture,capture_spread
M_EDME,Edelweiss Mid Cap Fund,1,82.94,4977,23.32,20.56,140.0,24.03,9.72,23.27,-13.8,0.6771,4.7,0.9563,0.0268,0.0879,0.7076,0.6564,0.7955,0.9813,0.8795,0.1583,-0.003,1.0967,0.1404
M_INMI,Invesco India Midcap Fund,2,77.73,4977,25.53,21.47,140.0,23.14,10.91,22.19,-13.43,0.5551,4.91,0.9564,0.0421,0.0719,0.7062,0.8185,0.7955,0.9853,0.5302,0.2106,-0.0043,1.0579,0.1014
M_WOCD,WOC Mid Cap Fund,3,73.96,1442,24.15,,23.0,22.7,14.56,16.95,-13.32,0.8254,7.5,0.782,0.1001,0.0498,1.0706,1.3088,0.3898,0.9932,0.7364,0.0904,-0.0028,1.0074,0.2254
M_KORY,Kotak Midcap Fund,4,73.95,4977,19.8,18.45,140.0,23.63,10.72,22.79,-13.04,0.4939,4.33,0.9638,0.0598,0.0849,0.6347,0.5613,0.7955,0.9417,0.6012,0.1004,-0.0056,1.0102,0.0464
M_MIAI,Mirae Asset Midcap Fund,5,73.81,2576,18.08,17.22,61.0,25.76,12.84,23.28,-12.06,0.263,3.56,0.9299,-0.0314,0.0757,0.6593,0.5262,0.6289,0.9797,0.7082,0.1139,-0.0039,0.9203,-0.0096
M_MANC,Mahindra Manulife Mid Cap Fund,6,73.03,3122,21.53,20.24,79.0,24.55,9.38,25.51,-13.74,0.3154,5.19,0.8946,-0.0452,0.0731,0.586,0.7363,0.687,0.9948,0.6305,0.106,-0.0049,0.8342,-0.0604
M_HDCMS,HDFC Mid Cap Fund,7,72.88,4977,19.7,21.05,140.0,22.46,11.27,21.54,-12.88,0.5482,3.75,0.9361,0.0487,0.0796,0.7083,0.5241,0.7955,0.9282,0.7518,0.1001,-0.0046,0.8397,-0.0964
M_ICPID,ICICI Pru Midcap Fund,8,70.41,4977,24.13,19.32,140.0,21.35,7.87,20.51,-13.99,0.3621,1.81,0.9703,-0.0022,0.0973,0.6525,0.5694,0.7955,0.992,0.9532,0.1567,-0.0024,0.9813,0.011
M_UNIA,Union Midcap Fund,9,69.12,2338,19.31,17.51,53.0,21.25,11.39,17.78,-12.56,0.0877,4.97,0.8879,0.0033,0.0559,1.3343,0.9354,0.5955,0.9981,0.7355,0.1907,-0.0046,0.907,0.0191
M_TAMW,Tata Mid Cap Fund,10,68.68,4977,17.23,16.79,140.0,21.29,7.87,20.55,-14.11,0.2966,3.13,0.9669,0.005,0.0823,0.6169,0.5337,0.7955,0.9941,0.8412,0.1117,-0.0038,0.9277,-0.0393
M_BNMP,Baroda BNP Paribas Mid Cap Fund,11,66.79,4977,19.31,17.1,140.0,20.96,8.71,20.49,-13.41,0.2384,3.96,0.943,0.0043,0.0902,0.6695,0.5813,0.7955,0.9974,0.8246,0.1246,-0.0048,0.7662,-0.1768
M_ITMA,ITI Mid Cap Fund,12,66.79,1995,22.99,18.19,41.0,24.11,9.69,25.64,-11.52,0.0633,2.41,0.921,-0.0194,0.0727,0.7429,1.0287,0.5325,0.9985,0.6853,0.1525,-0.0037,0.9119,-0.0091
M_MISM,Mirae Asset Large & Midcap Fund,13,65.46,4977,14.32,12.52,140.0,22.64,10.28,21.36,-12.96,0.4255,2.73,0.9191,0.065,0.0667,0.7529,0.4361,0.7955,0.956,0.3018,0.0681,-0.0066,0.7721,-0.147
M_LTIU,HSBC Midcap Fund,14,65.22,4977,25.85,20.19,140.0,21.88,9.33,21.22,-13.79,0.421,2.1,0.9467,0.0224,0.0925,0.6793,0.6902,0.7955,0.9844,0.6619,0.3056,-0.0049,0.9009,-0.0458
M_MOTG,Motilal Oswal Large & Midcap Fund,15,64.36,2499,23.64,20.03,58.0,26.11,14.98,23.33,-13.68,0.0837,4.34,0.933,-0.0609,0.0888,0.5937,0.6876,0.617,0.9816,0.3165,0.3042,-0.0048,0.8813,-0.0517
M_NIGW,Nippon India Growth Mid Cap Fund,16,61.9,4977,21.25,20.2,140.0,21.24,7.85,20.75,-13.91,0.188,3.85,0.9625,-0.0118,0.0851,0.5693,0.6015,0.7955,0.9497,0.8191,0.1342,-0.0034,0.8091,-0.1534
M_JMDL,JM Midcap Fund,17,60.99,1365,21.15,,21.0,16.64,6.36,8.08,-16.42,0.6898,5.36,0.9005,-0.0976,0.0654,1.0636,0.9792,0.3684,0.9987,0.4565,0.2224,-0.0003,1.123,0.2225
M_AXMI,Axis Midcap Fund,18,59.84,4977,18.14,14.66,140.0,20.75,9.22,19.66,-12.77,0.1179,4.45,0.9269,0.0498,0.0731,0.684,0.7072,0.7955,0.9656,0.7787,0.1225,-0.0078,0.6565,-0.2704
