mfId,name,rank,score,data_days,cagr_3y,cagr_5y,eq_weight,debt_weight,gold_weight,silver_weight,diversification,n_active_sleeves,alloc_adaptability,strategic_alpha,tactical_alpha,sortino_3y,cdar_5pct,calmar_3y,pain_index,dd_now,sip_1y_p50,sip_consistency,p1_alloc_profile,p2_alloc_adaptability,p3_alloc_skill,p4_downside,p5_sip_history,aum
M_NIPU,Nippon India Multi Asset Allocation Fund,1,78.47,1821,19.37,15.51,0.221,0.598,0.121,0.060,0.575,4,-0.036,-8.38,1.56,1.156,-7.25,2.188,-1.54,-2.13,19.70,1.000,61.76,54.17,91.67,85.29,91.67,17983.94
M_DSPUI,DSP Multi Asset Allocation Fund,2,77.39,1086,,,0.170,0.666,0.104,0.060,0.513,4,0.047,-13.86,2.50,1.247,-5.11,2.353,-0.83,-2.42,19.33,1.000,41.18,83.33,75.0,94.12,95.83,10989.91
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,3,70.25,918,,,0.211,0.643,0.078,0.068,0.532,4,0.036,-14.39,2.90,0.989,-5.97,1.913,-1.14,-1.88,15.24,1.000,44.12,79.17,83.33,82.35,54.17,1234.81
M_SBTO,SBI Multi Asset Allocation Fund,4,69.13,1821,15.16,13.47,0.189,0.682,0.047,0.082,0.491,3,0.055,-9.19,0.62,1.029,-5.77,2.007,-1.24,-1.16,16.59,1.000,17.65,91.67,79.17,88.24,66.67,20935.04
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,5,67.84,1821,14.46,15.58,0.281,0.596,0.078,0.045,0.558,3,0.064,-9.53,0.56,0.987,-6.35,1.603,-1.28,-2.62,19.97,0.865,26.47,95.83,66.67,73.53,87.5,87833.1
M_KOTUU,Kotak Multi Asset Allocation Fund,6,62.65,1093,,,0.189,0.615,0.017,0.179,0.554,3,0.118,-11.01,1.07,1.010,-9.76,1.650,-1.88,-1.72,16.94,1.000,23.53,100.0,62.5,61.76,79.17,15282.85
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,7,60.94,1324,16.48,,0.273,0.542,0.095,0.090,0.614,4,-0.031,-11.11,-0.04,0.888,-7.83,1.501,-1.38,-2.21,16.74,0.950,85.29,58.33,33.33,64.71,70.83,7279.21
M_UNUN,Union Multi Asset Allocation Fund,8,59.38,736,,,0.263,0.538,0.119,0.080,0.621,4,-0.200,3.04,-0.36,0.417,-7.93,0.982,-1.89,-2.44,15.17,1.000,88.24,4.17,100.0,29.41,58.33,1020.13
M_TATI,Tata Multi Asset Allocation Fund,9,57.23,1821,13.55,12.47,0.251,0.621,0.070,0.058,0.543,4,0.055,-10.65,0.87,0.725,-7.75,1.394,-1.67,-2.03,14.69,0.892,47.06,87.5,58.33,52.94,45.83,5241.6
M_QUNS,Quant Multi Asset Allocation Fund,10,57.18,1821,22.70,19.40,0.215,0.663,0.059,0.063,0.506,4,-0.068,-8.89,0.02,1.255,-11.11,1.834,-2.40,-2.43,22.85,1.000,35.29,45.83,54.17,58.82,100.0,6527.78
M_EDMU,Edelweiss Multi Asset Allocation Fund,11,55.8,1184,7.48,,0.046,0.954,0.000,0.000,0.088,1,-0.094,-0.02,-0.03,0.777,-0.40,7.292,-0.03,-0.08,7.85,0.000,2.94,29.17,95.83,100.0,12.5,2953.76
