mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_p50,sip_p25,sip_latest,sip_hit_rate,sip_consistency,n_sip_windows,risk_on_alpha,metal_capture,mixed_alpha,stress_alpha,eq_up_capture,eq_down_capture,sortino_3y,calmar_3y,max_drawdown_3y,current_drawdown,ulcer_index,cvar_5pct,recovery_weeks,eq_weight,gold_weight,silver_weight,defensive_weight,timing_alignment,regime_fit,allocation_balance,exposure_stability,durability_score,confidence,aum,data_weeks,history_years
M_NIPU,Nippon India Multi Asset Allocation Fund,1,69.28,True,1825,18.87,15.65,20.04,18.27,15.91,0.6875,4.4253,32,7.05,0.2412,13.06,3.74,0.3769,-0.0661,1.158,2.1323,-8.85,-2.43,2.2098,-2.94,3.4074,0.2565,0.0,0.113,0.6305,0.3636,0.4065,0.6985,0.9026,0.9706,0.9649,17983.94,262,4.9966
M_SBTO,SBI Multi Asset Allocation Fund,2,63.39,True,1825,15.23,13.62,16.38,14.75,12.7,0.4688,4.0654,32,-3.48,0.2299,7.65,12.89,0.2516,-0.1142,1.032,2.0156,-7.56,-1.18,1.8509,-2.14,4.0435,0.2065,0.0,0.1031,0.6904,0.3262,0.3565,0.6268,0.9334,0.97,0.9647,20935.04,262,4.9966
M_WOMT,WOC Multi Asset Allocation Fund,3,59.22,True,1212,16.9,,18.35,14.86,14.86,0.4118,8.1252,17,-5.35,0.2432,12.58,31.98,0.3103,-0.0827,1.7044,2.7782,-6.08,-1.19,0.9283,-1.55,2.3103,0.187,0.0017,0.0542,0.7572,0.2971,0.3387,0.5184,0.9416,0.9892,0.685,8777.56,174,3.3183
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,4,58.46,True,1825,14.32,16.27,19.72,15.08,9.21,0.5938,2.917,32,2.45,0.1657,4.91,15.37,0.3156,-0.0194,0.9892,1.588,-9.02,-2.82,2.1232,-2.27,3.84,0.303,0.0,0.0778,0.6192,0.3462,0.415,0.6916,0.921,0.97,0.9647,87833.1,262,4.9966
M_QUNS,Quant Multi Asset Allocation Fund,5,57.22,True,1825,22.08,19.91,22.42,16.87,15.87,0.6875,2.988,32,20.28,0.249,7.65,-0.62,0.4372,-0.0747,1.2633,1.784,-12.38,-2.55,3.23,-3.33,4.5909,0.2342,0.0,0.0871,0.6787,0.386,0.3842,0.6359,0.8792,0.9969,0.9741,6527.78,262,4.9966
M_UTIMA,UTI Multi Asset Allocation Fund,6,49.85,True,1825,15.32,13.27,19.88,12.06,8.11,0.5938,2.1315,32,9.18,0.1337,10.58,-4.01,0.3574,0.0078,0.8544,1.4918,-10.27,-3.11,2.8671,-2.66,4.3913,0.3191,0.0,0.1042,0.5767,0.3573,0.415,0.7397,0.9053,0.9948,0.9733,7062.53,262,4.9966
M_HDCUU,HDFC Multi Asset Allocation Fund,7,48.75,True,1825,11.75,10.97,15.91,12.56,7.94,0.0625,3.2031,32,-2.7,0.1598,5.26,10.87,0.2678,-0.0145,0.7078,1.3734,-8.56,-3.24,2.195,-2.18,3.92,0.2584,0.0,0.0774,0.6642,0.3101,0.4084,0.6481,0.9307,0.9991,0.9749,5979.92,262,4.9966
M_TATI,Tata Multi Asset Allocation Fund,8,46.87,True,1825,13.28,12.56,15.44,12.79,9.92,0.375,3.095,32,1.73,0.1665,6.72,2.88,0.3032,-0.0086,0.7283,1.3665,-9.72,-2.19,2.5799,-2.6,4.4167,0.2729,0.0,0.0926,0.6345,0.3411,0.415,0.6858,0.9151,1.0,0.9752,5241.6,262,4.9966
M_EDMU,Edelweiss Multi Asset Allocation Fund,9,44.66,True,1177,7.62,,7.6,7.32,7.14,0.0,13.3475,16,-19.81,0.0981,5.59,54.58,0.0971,-0.094,0.8402,7.4286,-1.03,0.0,0.1188,-0.27,1.9333,0.0391,0.0161,0.0,0.9448,0.1819,0.1661,0.1407,0.9895,1.0,0.6716,2953.76,169,3.2225
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,10,43.28,True,1320,16.02,,16.6,14.43,14.83,0.381,7.4596,21,2.89,0.2415,5.99,-0.05,0.3376,-0.0435,0.887,1.4586,-10.98,-2.55,2.6737,-3.12,4.0,0.2954,0.0,0.1283,0.5763,0.3221,0.15,0.7522,0.911,0.9929,0.7451,7618.21,189,3.614
