mfId,name,rank,score,data_days,cagr_3y,cagr_5y,mean_24m,sortino_24m,max_drawdown,appraisal_ratio,r_squared_1y,asymmetry_score,gold_up_beta,ir_3y,ir_6m,downside_cap_3y,downside_cap_6m,aum
M_DSPUI,DSP Multi Asset Allocation Fund,1,56.16,686,,,0.3113,10.5999,-0.0971,0.9243,0.0871,5.1726,0.2108,,,,,10989.91
M_TATI,Tata Multi Asset Allocation Fund,2,54.14,1234,14.33,,0.2607,360.2408,-0.1027,0.7918,0.1927,1.2583,0.0786,-0.9114,-3.5175,0.1218,0.3450,5241.6
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,3,50.76,622,,,0.2488,10.4240,-0.0953,1.6434,0.0984,0.6858,0.1940,,,,,1234.81
M_NIPU,Nippon India Multi Asset Allocation Fund,4,50.08,1233,19.87,,0.3318,3.6477,-0.1078,1.5549,0.1617,1.0179,0.1813,-0.4935,-3.2306,0.0940,0.3501,17983.94
M_BANHP,Bandhan Multi Asset Allocation Fund,5,46.32,661,,,0.2535,10.3394,-0.1002,1.0582,0.1214,1.2534,0.1882,,,,,3744.87
M_UTIMA,UTI Multi Asset Allocation Fund,6,44.29,1233,16.13,,0.3237,7.7464,-0.1144,0.7313,0.1643,1.4971,0.1323,-0.6493,-3.7615,0.0940,0.3264,7062.53
M_UNUN,Union Multi Asset Allocation Fund,7,40.5,500,,,0.2351,235056.5548,-0.1242,1.1248,0.0831,0.7970,0.2595,,,,,1020.13
M_WOMT,WOC Multi Asset Allocation Fund,8,39.44,811,17.31,,0.2791,8.0363,-0.0608,1.9286,0.0949,1.7809,0.1351,-0.5690,-2.9775,0.0356,0.4056,8777.56
M_SBTO,SBI Multi Asset Allocation Fund,9,39.36,1221,16.26,,0.2867,3.8569,-0.0859,0.7913,0.1049,0.4439,0.1452,-0.6164,-3.1472,0.0897,0.3146,20935.04
M_MIUD,Mirae Asset Multi Asset Allocation Fund,10,38.5,652,,,0.2277,8.8212,-0.0909,1.0369,0.1205,0.9226,0.1844,,,,,3690.64
M_KOTUU,Kotak Multi Asset Allocation Fund,11,34.7,732,,,0.2720,10.3556,-0.1379,0.8803,0.0740,0.6370,0.2727,,,,,15282.85
M_BANKD,Bank of India Multi Asset Allocation Fund,12,32.8,619,,,0.1626,7.1173,-0.0936,0.4831,0.0821,0.5750,0.2123,,,,,379.31
M_BAJAO,Bajaj Finserv Multi Asset Allocation Fund,13,32.1,568,,,0.1820,11.9740,-0.1321,1.0905,0.0913,0.3732,0.2375,,,,,1984.98
M_HDCUU,HDFC Multi Asset Allocation Fund,14,31.15,1233,12.43,,0.2408,3.1077,-0.0890,0.5798,0.1706,1.0112,0.1189,-0.9598,-3.3303,0.0892,0.4041,6031.26
M_EDMU,Edelweiss Multi Asset Allocation Fund,15,24.02,786,7.89,,0.1225,13.7172,-0.0177,4.2049,0.0105,3.8195,-0.0167,-0.3740,-2.2464,0.0056,0.0770,2953.76
M_SUDUO,Sundaram Multi Asset Allocation Fund,16,23.2,653,,,0.1981,4.9578,-0.1310,0.9481,0.1074,0.8584,0.2732,,,,,3406.52
M_QUNS,Quant Multi Asset Allocation Fund,17,22.13,1233,22.72,,0.3823,2.6858,-0.1589,-0.0636,0.1577,0.7741,0.1155,-0.7481,-4.1827,0.1228,0.1704,6527.78
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,18,21.89,1233,15.20,,0.3165,2.9602,-0.0951,1.5075,0.1869,1.4407,0.0896,-0.9122,-3.8117,0.0829,0.4294,87833.1
M_HSAO,HSBC Multi Asset Allocation Fund,19,20.7,631,,,0.2187,6.5530,-0.1869,0.5974,0.0801,0.8260,0.2781,,,,,3259.66
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,20,19.46,896,16.88,,0.2616,7.3516,-0.1283,0.6970,0.1311,0.9599,0.2236,-0.8988,-3.4474,0.1025,0.4219,7279.21
M_AXPU,Axis Multi Asset Allocation Fund,21,19.2,1241,14.10,,0.2187,3.3437,-0.1735,-0.0609,0.1786,1.2974,0.1883,-0.6092,-3.7660,0.1025,0.4500,2611.13
M_360P,360 ONE Multi Asset Allocation Fund,22,16.5,261,,,,,-0.0987,1.0939,0.0025,,0.3131,,,,,482.74
M_SACM,Samco Multi Asset Allocation Fund,23,16.08,427,,,,,-0.1232,2.3564,0.0001,-7.7519,0.2781,,,,,400.2
M_CAUS,Canara Rob Multi Asset Allocation Fund,24,15.96,323,,,,,-0.1050,2.0731,0.0501,0.1170,0.1759,,,,,1411.53
M_INVIP,Invesco India Multi Asset Allocation Fund,25,14.0,432,,,,,-0.1098,1.1077,0.0449,0.4979,0.2413,,,,,1233.72
M_LIEG,LIC MF Multi Asset Allocation Fund,26,13.68,392,,,,,-0.1351,1.3736,0.0780,0.4935,0.2592,,,,,978.04
M_BABL,Baroda BNP Paribas Multi Asset Fund,27,13.18,922,15.28,,0.2321,3.1072,-0.1195,0.4370,0.1520,1.0324,0.1997,-1.0623,-3.6912,0.1138,0.4586,1486.46
M_FRANS,Franklin India Multi Asset Allocation Fund,28,12.7,280,,,,,-0.1155,0.4522,0.0453,-0.1379,0.1956,,,,,2912.44
M_QUUC,Quantum Multi Asset Allocation Fund,29,8.8,625,,,0.1206,3.0418,-0.1049,1.3560,0.1144,1.0654,0.1684,,,,,59.27
M_SHRS,Shriram Multi Asset Allocation Fund,30,4.05,742,,,0.1009,0.0351,-0.1533,0.6700,0.1367,0.9493,0.2250,,,,,145.88
