mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,gold_part,metals_overfit,alloc_stability,eq_down_prot
M_NIPU,Nippon India Multi Asset Allocation Fund,1,80.19,2205,19.01,15.79,49.0,17.78,12.2,17.84,-5.72,0.141,8.17,0.3318,-0.0021,0.0231,1.2919,2.0803,0.5976,1.0,0.5649,0.0771,0.0846,0.6682
M_TATI,Tata Multi Asset Allocation Fund,2,75.76,2380,13.25,12.69,54.0,15.69,12.21,14.19,-6.14,-0.2778,7.66,0.4865,-0.0613,0.0259,1.5664,1.0653,0.6207,1.0,0.4661,0.0852,0.0498,0.5135
M_WOMT,WOC Multi Asset Allocation Fund,3,70.4,1211,17.0,,16.0,17.19,15.07,15.96,-2.6,0.2891,13.31,-0.2085,0.0772,0.0064,1.5271,4.5708,0.3265,1.0,0.3775,0.057,0.0464,1.2085
M_DSPUI,DSP Multi Asset Allocation Fund,4,67.4,1071,19.51,,11.0,19.38,18.12,21.67,-4.32,0.6527,14.37,-0.0404,-0.0759,0.0148,1.5674,3.1671,0.25,1.0,0.4353,0.0319,0.0666,1.0404
M_QUNS,Quant Multi Asset Allocation Fund,5,63.53,4991,21.98,19.91,140.0,17.79,7.43,18.06,-6.76,0.1738,13.73,0.2822,-0.1193,0.0374,0.7568,0.8192,0.8092,1.0,0.4422,0.0735,0.3567,0.7178
M_SBTO,SBI Multi Asset Allocation Fund,6,62.07,4928,14.95,13.6,138.0,12.62,9.39,12.38,-3.83,-0.1539,7.21,0.2078,-0.1653,0.0167,0.849,1.1421,0.807,1.0,0.3839,0.053,0.1555,0.7922
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,7,61.34,1316,16.01,,20.0,15.96,14.72,14.62,-7.71,0.4619,8.91,0.3401,0.0358,0.0242,0.9275,1.8154,0.3774,1.0,0.4783,0.08,0.0701,0.6599
M_KOTUU,Kotak Multi Asset Allocation Fund,8,57.91,1085,18.45,,12.0,17.44,16.9,22.39,-8.09,0.7808,11.69,0.3358,-0.0701,0.0331,0.899,1.5489,0.2667,1.0,0.4395,0.0496,0.1036,0.6642
M_EDMU,Edelweiss Multi Asset Allocation Fund,9,56.59,1176,7.6,,15.0,7.64,7.27,7.03,-0.53,-0.3236,7.36,-0.1636,-0.0806,0.001,0.8164,9.6438,0.3125,1.0,0.1883,0.0019,0.0317,1.1636
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,10,56.36,4998,14.47,16.18,141.0,17.02,8.16,16.18,-8.18,0.3401,7.56,0.7042,-0.0518,0.0476,0.749,0.5391,0.8103,1.0,0.4704,0.0649,0.148,0.2958
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,11,54.7,910,16.09,,6.0,15.17,14.85,17.13,-6.06,0.9912,12.81,0.2436,-0.0448,0.0178,0.9868,2.5692,0.1538,1.0,0.3509,0.027,0.0645,0.7564
M_BANHP,Bandhan Multi Asset Allocation Fund,12,53.41,952,16.13,,8.0,15.76,15.6,19.51,-6.03,1.0151,12.19,0.1942,-0.0132,0.0254,0.9287,2.0039,0.1951,1.0,0.3984,0.0907,0.0838,0.8058
M_MIUD,Mirae Asset Multi Asset Allocation Fund,13,53.19,952,14.08,,8.0,14.18,13.35,16.02,-5.45,0.8348,11.05,0.2687,0.0405,0.0179,0.8384,2.2328,0.1951,1.0,0.3663,0.0686,0.0643,0.7313
M_BABL,Baroda BNP Paribas Multi Asset Fund,14,52.1,1358,14.65,,21.0,14.05,10.77,10.91,-8.82,0.4785,7.53,0.3424,-0.0467,0.0311,0.9187,1.226,0.3889,1.0,0.4362,0.0953,0.0986,0.6576
M_BAJAO,Bajaj Finserv Multi Asset Allocation Fund,15,48.57,826,,,3.0,11.73,11.63,13.16,-8.61,0.8986,8.85,0.4826,-0.119,0.0374,0.3063,,0.0833,1.0,0.375,0.0637,0.0867,0.5174
M_SUDUO,Sundaram Multi Asset Allocation Fund,16,48.44,959,13.45,,8.0,12.28,10.67,12.97,-7.54,0.7396,9.84,0.2606,-0.0688,0.029,0.6627,1.4919,0.1951,1.0,0.3677,0.1021,0.1004,0.7394
M_HSAO,HSBC Multi Asset Allocation Fund,17,48.1,924,15.67,,7.0,13.68,13.75,21.02,-7.63,1.0146,8.48,0.4344,-0.0278,0.0519,0.4483,0.8959,0.175,1.0,0.4114,0.0677,0.1923,0.5656
