mfId,name,rank,score,data_days,cagr_3y,cagr_5y,sip_1y_median,sip_1y_p20,sip_alpha_median,sip_consistency,dd_depth_now,recovery_slope,late_mom_6m,info_ratio_2y,up_capture_2y,down_capture_2y,nav_trend_residual,sortino_3y,stress_alpha,aum,n_sip_windows
M_ITIM,ITI Small Cap Fund,1,100.0,1827,25.71,19.83,24.79,13.09,6.41,1.000,-1.41,36.54,33.21,-0.082,0.155,0.193,-0.155,-0.105,201.18,3602.85,37
M_INEP,Invesco India Smallcap Fund,2,92.86,1827,23.73,20.59,23.96,13.15,6.32,0.757,-1.18,20.99,26.53,-0.082,0.164,0.201,-0.511,-0.159,203.43,14474.79,37
M_IDFM,Bandhan Small Cap Fund,3,89.29,1827,25.33,20.14,30.78,11.38,10.27,1.000,-0.82,22.87,23.22,-0.290,0.099,0.211,-0.742,-0.142,207.64,34176.02,37
M_MAAI,Mahindra Manulife Small Cap Fund,4,85.71,1380,21.11,,12.35,4.64,3.99,1.000,-2.38,38.90,27.73,-0.198,0.127,0.204,-0.345,-0.200,203.24,5467.66,22
M_MOON,Motilal Oswal Small Cap Fund,5,81.96,1001,23.10,,11.66,6.06,10.67,1.000,-1.25,32.76,35.02,-0.185,0.112,0.187,0.889,-0.184,208.68,8150.2,10
M_EDEC,Edelweiss Small Cap Fund,6,78.57,1827,16.38,17.56,20.97,8.01,0.98,0.595,-2.74,18.23,20.32,-0.130,0.134,0.188,-0.879,-0.336,206.77,7252.91,37
M_AXMC,Axis Small Cap Fund,7,75.0,1827,16.34,16.41,19.42,8.45,0.34,0.514,-0.88,25.65,22.25,-0.102,0.114,0.159,-0.571,-0.390,220.47,30088.59,37
M_UNSL,Union Small Cap Fund,8,71.43,1827,18.29,17.91,19.20,9.68,-3.73,0.459,-1.77,37.66,29.21,-0.120,0.163,0.214,0.338,-0.239,203.18,2667.47,37
M_QUUS,Quantum Small Cap Fund,9,69.82,1054,12.80,,8.29,4.87,5.92,1.000,-1.74,13.12,19.81,-0.169,0.120,0.188,0.426,-0.510,213.03,265.27,11
M_QUNF,Quant Small Cap Fund,10,67.86,1827,18.40,19.97,18.73,7.30,2.47,0.730,-1.46,16.95,27.72,-0.203,0.129,0.208,-0.630,-0.262,203.81,35557.21,37
M_NIMS,Nippon India Small Cap Fund,11,64.29,1827,16.11,19.27,20.17,6.02,1.49,0.811,-0.74,16.72,21.50,-0.239,0.099,0.192,-0.933,-0.333,209.29,82580.31,37
M_PGSE,PGIM India Small Cap Fund,12,60.71,1827,17.45,14.25,15.09,9.61,-4.01,0.378,-1.02,39.94,28.27,-0.115,0.126,0.176,0.513,-0.341,214.29,1673.64,37
M_UTSSA,UTI Small Cap Fund,13,57.14,1827,14.61,15.62,18.70,6.90,-0.22,0.486,-1.97,11.18,20.46,-0.142,0.133,0.192,-0.859,-0.372,206.86,5447.65,37
M_BOIL,Bank of India Small Cap Fund,14,53.57,1827,22.49,20.34,20.63,10.64,1.91,0.703,-1.12,40.71,39.51,-0.370,0.094,0.233,0.281,-0.169,196.95,3307.18,37
M_DSPSM,DSP Small Cap Fund,15,50.0,1827,18.44,18.78,19.67,10.55,-0.16,0.486,-1.09,33.21,27.24,-0.251,0.121,0.219,-0.074,-0.288,203.86,21658.64,37
M_ADICM,Aditya Birla SL Small Cap Fund,16,46.43,1827,16.22,14.35,16.59,7.81,-3.25,0.297,-2.09,35.15,26.76,-0.203,0.111,0.191,0.010,-0.322,203.93,6226.47,37
