mfId,name,rank,score,data_days,cagr_1y,cagr_3y,cagr_5y,alpha_1y,beta_1y,info_1y,sortino_1y,omega_1y,max_drawdown_2y,ulcer_2y,up_capture_1y,down_capture_1y,rolling_active_2y,swing_down_rel_1y,swing_up_rel_1y,momentum_3m_rel,momentum_6m_rel,momentum_12m_rel,overheat_gap,vol_regime_2y,aum,data_weeks,history_years,history_reliability
M_BOIL,Bank of India Small Cap Fund,1,74.06,2674,11.69,23.55,22.35,4.91,0.926,0.800,0.332,1.14,-25.24,10.53,0.991,0.883,1.49,0.40,-0.10,45.33,14.44,5.31,40.03,1.131,1770.44,383,7.32,1.000
M_DSPSM,DSP Small Cap Fund,2,73.1,4851,17.79,22.18,21.40,10.14,0.870,1.621,0.738,1.30,-22.38,7.98,0.990,0.767,3.00,0.69,-0.38,17.64,17.29,11.40,6.25,1.203,15300.48,694,13.28,1.000
M_MAAI,Mahindra Manulife Small Cap Fund,3,71.2,1218,13.34,26.80,,6.17,0.859,1.378,0.468,1.20,-25.69,10.92,0.913,0.766,2.40,0.62,-0.32,12.73,8.90,6.95,5.78,1.039,3820.31,175,3.33,0.928
M_IDFM,Bandhan Small Cap Fund,4,68.61,2240,12.60,32.34,25.21,5.55,0.869,1.103,0.406,1.17,-21.41,7.47,0.972,0.849,4.67,0.58,-0.37,3.05,7.88,6.21,-3.16,1.101,20129.67,321,6.13,1.000
M_UNSL,Union Small Cap Fund,5,68.36,4326,19.12,21.70,20.14,11.45,0.900,1.463,0.728,1.30,-24.75,8.99,1.037,0.793,2.58,0.42,-0.36,28.10,13.07,12.74,15.37,1.194,1665.52,619,11.84,1.000
M_TRMU,TRUSTMF Small Cap Fund,6,68.11,525,20.26,,,12.31,0.843,1.520,0.831,1.35,,,0.978,0.706,7.00,0.68,-0.48,17.95,13.32,13.87,4.08,,1348.46,76,1.44,0.844
M_NIMS,Nippon India Small Cap Fund,7,64.69,4851,9.60,22.20,23.82,2.79,0.834,0.510,0.213,1.11,-23.38,9.56,0.854,0.772,1.27,0.64,-0.65,11.13,5.81,3.21,7.92,1.135,67641.5,694,13.28,1.000
M_INEP,Invesco India Smallcap Fund,8,63.97,2723,12.46,26.53,24.19,5.63,0.943,0.950,0.353,1.16,-22.11,7.77,0.966,0.837,4.26,0.30,-0.23,4.85,3.86,6.08,-1.23,1.228,9716.4,390,7.46,1.000
M_MIPA,Mirae Asset Small Cap Fund,9,60.5,434,15.03,,,7.62,0.797,1.249,0.627,1.25,,,0.888,0.706,5.34,0.80,-0.63,0.82,7.89,8.64,-7.82,,3333.01,63,1.19,0.833
M_SUNSP,Sundaram Small Cap Fund,10,60.13,4851,14.37,21.95,20.78,7.17,0.878,1.280,0.498,1.21,-22.52,7.88,0.968,0.807,2.11,0.54,-0.41,4.35,9.04,7.98,-3.63,1.347,2982.57,694,13.28,1.000
M_IDIS,LIC MF Small Cap Fund,11,55.0,3220,8.00,20.42,20.52,1.64,0.944,0.225,0.086,1.06,-26.27,12.76,0.974,0.935,1.61,0.24,-0.17,29.18,8.43,1.61,27.57,1.105,605.89,461,8.82,1.000
M_BARDN,Baroda BNP Paribas Small Cap Fund,12,54.65,896,9.32,,,2.44,0.723,0.294,0.228,1.10,-24.26,10.24,0.752,0.664,0.17,0.95,-1.03,-0.87,7.97,2.93,-3.80,1.015,1066.16,129,2.45,0.889
M_MOON,Motilal Oswal Small Cap Fund,13,52.96,840,11.79,,,4.92,0.852,0.693,0.322,1.15,-22.36,8.87,0.935,0.820,4.83,0.62,-0.53,16.35,4.34,5.41,10.95,1.286,5177.86,121,2.30,0.882
M_ADICM,Aditya Birla SL Small Cap Fund,14,52.33,4851,12.39,20.21,16.47,5.41,0.862,0.905,0.351,1.17,-24.49,9.53,0.918,0.789,0.66,0.47,-0.48,9.12,8.81,6.00,3.12,1.192,4449.15,694,13.28,1.000
M_EDEC,Edelweiss Small Cap Fund,15,51.43,2625,9.93,21.40,21.80,3.10,0.802,0.468,0.227,1.11,-21.42,7.94,0.858,0.771,2.44,0.59,-0.78,-2.16,5.29,3.55,-5.71,1.192,5107.67,376,7.19,1.000
M_ITIM,ITI Small Cap Fund,16,49.78,2247,9.93,26.86,19.80,3.25,0.900,0.559,0.202,1.11,-22.82,8.14,0.930,0.849,3.25,0.43,-0.43,10.02,6.29,3.55,6.48,1.140,2492.96,322,6.15,1.000
