mfId,name,rank,score,evidence_qualified,data_days,cagr_3y,cagr_5y,sip_xirr_backtest_median,sip_xirr_backtest_p25,n_sip_windows,sip_hit_rate,alpha_consistency,momentum_quality,recovery_strength,swing_participation,drawdown_control,downside_resilience,up_capture,down_capture,vol_regime,max_drawdown_1y,current_drawdown,aum_liquidity_score,confidence,aum,history_years
M_ITIM,ITI Small Cap Fund,1,96.77,True,1827,25.71,19.83,24.79,14.2,37,1.0,0.8913,1.3246,10.98,0.9425,-11.89,-53.55,1.0202,0.8477,0.5649,-11.95,-0.91,1.0,1.0,3602.85,5.0021
M_BOIL,Bank of India Small Cap Fund,2,87.1,True,1827,22.49,20.34,20.63,12.68,37,0.7027,0.6522,1.4978,16.84,1.0201,-12.9,-56.03,1.0546,0.8867,0.4128,-12.92,-0.54,1.0,1.0,3307.18,5.0021
M_DSPSM,DSP Small Cap Fund,3,83.68,True,1827,18.44,18.78,19.67,11.65,37,0.4865,0.75,1.1244,5.43,0.8729,-10.81,-49.55,0.9264,0.7861,0.4882,-9.54,-0.5,0.9187,0.9959,21658.64,5.0021
M_UNSL,Union Small Cap Fund,4,80.65,True,1827,18.29,17.91,19.2,10.24,37,0.4595,0.7717,1.0819,6.57,0.946,-12.03,-54.56,1.0449,0.8669,0.4976,-10.4,-0.94,1.0,1.0,2667.47,5.0021
M_INEP,Invesco India Smallcap Fund,5,77.42,True,1827,23.73,20.59,23.96,14.77,37,0.7568,0.8043,0.8993,4.31,0.9114,-11.83,-54.65,1.0181,0.873,0.579,-12.21,-1.18,1.0,1.0,14474.79,5.0021
M_IDFM,Bandhan Small Cap Fund,6,73.79,True,1827,25.33,20.14,30.78,15.38,37,1.0,0.7391,0.8503,0.68,0.8939,-11.48,-52.03,0.9329,0.8411,0.4711,-12.7,-0.32,0.8028,0.9901,34176.02,5.0021
M_PGSE,PGIM India Small Cap Fund,7,61.25,True,1827,17.45,14.25,15.09,10.51,37,0.3784,0.7717,1.1096,4.85,0.7881,-11.43,-45.71,0.8595,0.73,0.6214,-13.12,-0.49,0.9775,0.9989,1673.64,5.0021
M_MAAI,Mahindra Manulife Small Cap Fund,8,60.61,True,1380,21.11,,12.35,5.28,22,1.0,0.6957,1.1476,5.11,0.8859,-13.08,-51.08,0.9044,0.8261,0.5428,-12.05,-1.51,1.0,0.7346,5467.66,3.7782
M_ADICM,Aditya Birla SL Small Cap Fund,9,54.84,True,1827,16.22,14.35,16.59,9.01,37,0.2973,0.7391,1.0908,4.82,0.8593,-12.22,-49.97,0.8798,0.7848,0.5508,-10.82,-1.37,1.0,1.0,6226.47,5.0021
M_SUNSP,Sundaram Small Cap Fund,10,51.61,True,1827,17.72,17.15,18.4,11.18,37,0.4865,0.7717,0.9313,5.28,0.8559,-12.16,-50.16,0.9228,0.8106,0.6898,-13.08,-0.87,1.0,1.0,4155.35,5.0021
