mfId,name,rank,score,data_days,cagr_3y,cagr_5y,sip_hold_median_ret,sip_hold_p20_ret,asymmetry_score,beta_up_3y,beta_down_3y,down_cap_1y,max_dd_1y,liquidity_score,info_ratio,aum
M_BOIL,Bank of India Small Cap Fund,1,80.52,1825,8.30,19.18,34.45,16.79,1.3051,0.3122,0.2392,0.2898,-11.67,1.0000,0.1648,3307.18
M_ITIM,ITI Small Cap Fund,2,79.78,1825,8.54,20.84,41.53,20.53,1.2333,0.2737,0.2220,0.2414,-12.73,1.0000,0.1326,3419.42
M_UNSL,Union Small Cap Fund,3,72.8,1825,8.37,17.77,31.95,15.19,1.2373,0.2673,0.2160,0.2015,-11.51,1.0000,0.0857,2667.47
M_IDIS,LIC MF Small Cap Fund,4,59.21,1825,4.68,16.48,30.33,10.88,1.4652,0.3177,0.2168,0.3909,-12.95,1.0000,0.1129,831.55
M_UTSSA,UTI Small Cap Fund,5,48.99,1825,3.61,14.38,30.04,10.87,1.1923,0.2457,0.2061,0.2791,-14.63,1.0000,0.0115,5447.65
M_PGSE,PGIM India Small Cap Fund,6,48.26,1825,6.52,14.16,24.14,15.69,1.1397,0.2335,0.2049,0.1385,-12.77,1.0000,-0.0410,1793.79
M_SUNSP,Sundaram Small Cap Fund,7,42.66,1825,6.70,16.47,29.45,16.44,1.0977,0.2127,0.1937,0.3456,-15.06,1.0000,0.0663,4155.35
M_EDEC,Edelweiss Small Cap Fund,8,42.03,1825,4.01,15.41,31.33,12.63,1.0505,0.2187,0.2081,0.2623,-14.30,0.8000,0.0677,6817.93
M_ADICM,Aditya Birla SL Small Cap Fund,9,40.3,1825,5.88,16.28,26.10,11.78,1.1826,0.2618,0.2214,0.2842,-12.26,0.8000,-0.0269,6226.47
M_INEP,Invesco India Smallcap Fund,10,34.94,1825,7.94,19.10,40.03,20.93,1.1567,0.2688,0.2324,0.3175,-13.48,0.5000,0.1653,14474.79
M_ICCDS,ICICI Pru Small Cap Fund,11,27.88,1825,2.27,12.52,25.63,7.67,1.2888,0.2221,0.1723,0.3457,-13.95,0.8000,-0.0302,9820.61
M_TRMU,TRUSTMF Small Cap Fund,12,25.02,677,,,,,,,,0.2899,-10.94,1.0000,0.5449,3438.9
M_MIPA,Mirae Asset Small Cap Fund,13,22.81,586,,,,,,,,0.2277,-13.85,1.0000,0.2550,5717.05
M_FRSM,Franklin India Small Cap Fund,14,22.53,1825,0.31,13.97,29.95,4.71,1.3137,0.2366,0.1801,0.3325,-13.33,0.5000,0.0309,14746.08
M_CANM,Canara Rob Small Cap Fund,15,22.44,1825,1.43,12.66,27.06,8.11,1.2965,0.2452,0.1892,0.2925,-14.74,0.5000,-0.0048,14661.14
M_TASC,Tata Small Cap Fund,16,21.94,1825,0.05,12.17,33.10,0.86,1.4110,0.2520,0.1786,0.4474,-18.29,0.5000,0.0168,13093.88
M_IDFM,Bandhan Small Cap Fund,17,15.11,1825,6.31,21.94,52.19,18.66,1.4360,0.2661,0.1853,0.3670,-14.11,0.2000,0.1553,34176.02
M_BAJFP,Bajaj Finserv Small Cap Fund,18,13.0,417,,,,,,,,0.3495,-14.43,1.0000,0.3188,2646.91
M_NIMS,Nippon India Small Cap Fund,19,12.97,1825,2.66,15.93,32.44,9.43,1.2931,0.2475,0.1914,0.2960,-12.37,0.2000,0.1253,82580.31
M_AXMC,Axis Small Cap Fund,20,12.17,1825,5.39,14.62,30.75,13.41,1.1449,0.2000,0.1747,0.2197,-12.66,0.2000,0.0254,31448.32
M_DSPSM,DSP Small Cap Fund,21,10.9,1825,6.55,17.16,31.69,17.22,1.0469,0.2137,0.2041,0.3791,-12.41,0.2000,0.1139,20220.75
M_QUNF,Quant Small Cap Fund,22,10.38,1825,3.42,17.05,30.78,11.42,1.1519,0.2407,0.2090,0.3177,-13.87,0.2000,0.1529,35557.21
M_MAAI,Mahindra Manulife Small Cap Fund,23,10.12,1370,5.54,19.75,19.51,8.11,1.4016,0.2915,0.2080,0.3111,-12.91,1.0000,0.2307,5086.57
M_LTES,HSBC Small Cap Fund,24,8.43,1825,3.60,15.07,27.47,7.75,1.2841,0.2684,0.2090,0.3324,-14.53,0.2000,0.0931,19076.35
M_BARDN,Baroda BNP Paribas Small Cap Fund,25,7.86,1048,2.52,,5.74,-0.33,1.4314,0.2608,0.1822,0.2593,-13.02,1.0000,-0.0366,1309.22
M_JMPT,JM Small Cap Fund,26,6.82,816,5.75,,18.78,16.13,1.7908,0.3267,0.1824,0.4105,-15.20,1.0000,0.1726,852.77
M_SBILM,SBI Small Cap Fund,27,5.82,1825,2.06,12.12,24.57,6.42,0.9180,0.1744,0.1900,0.2679,-13.09,0.2000,-0.0327,42630.89
M_HDFSU,HDFC Small Cap Fund,28,5.77,1825,0.97,12.45,26.96,6.79,1.2498,0.2381,0.1905,0.4145,-15.21,0.2000,-0.0040,41890.86
M_KOSM,Kotak Small Cap Fund,29,5.41,1825,1.17,12.68,25.45,5.31,1.0577,0.2091,0.1977,0.2914,-13.63,0.2000,-0.0847,19678.75
M_MOON,Motilal Oswal Small Cap Fund,30,4.5,991,10.28,,18.97,10.08,1.1196,0.2316,0.2069,0.2984,-13.02,0.8000,0.3757,8150.2
M_QUUS,Quantum Small Cap Fund,31,2.34,1044,5.20,,12.93,8.00,1.3178,0.2169,0.1646,0.3464,-14.97,0.4000,-0.0976,265.27
