mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,hold_vol,rel_dd,xirr_std,omega,batting
M_BOIL,Bank of India Small Cap Fund,1,80.65,2821,21.93,20.3,69.0,32.73,14.42,32.75,-13.8,0.8055,10.83,0.7894,0.0908,0.0806,0.882,0.7739,0.7419,0.996,32.44,0.3728,22.29,2.6788,0.7647
M_INEP,Invesco India Smallcap Fund,2,77.83,2870,23.31,20.45,71.0,29.98,16.51,31.19,-13.54,0.6677,6.99,0.8196,0.0505,0.0816,0.7168,0.6746,0.7474,0.9484,28.18,0.4546,16.95,2.4454,0.6782
M_EDEC,Edelweiss Small Cap Fund,3,77.39,2772,15.98,17.58,67.0,30.67,14.42,31.13,-11.76,0.5396,7.13,0.8312,0.0201,0.076,0.7734,0.4771,0.7363,0.9759,30.93,0.4408,20.0,2.5603,0.7108
M_IDFM,Bandhan Small Cap Fund,4,73.79,2387,25.04,19.86,55.0,27.74,11.23,23.97,-13.81,0.4275,10.89,0.7583,0.0254,0.0726,1.2985,1.1133,0.6962,0.9115,27.14,0.2959,18.77,3.0251,0.7183
M_TASC,Tata Small Cap Fund,5,72.29,2856,12.44,15.67,70.0,29.2,17.12,29.81,-13.58,0.3872,6.02,0.7674,0.0014,0.0949,0.6719,0.3841,0.7447,0.9543,31.9,0.4262,20.21,2.3376,0.6047
M_AXMC,Axis Small Cap Fund,6,70.8,4669,15.8,16.41,130.0,20.55,10.92,19.78,-12.68,0.4752,7.54,0.7264,-0.0056,0.065,0.7463,0.469,0.8442,0.9132,21.42,0.4431,14.56,2.6855,0.6803
M_UTSSA,UTI Small Cap Fund,7,65.77,2086,14.33,15.74,45.0,18.21,8.51,17.16,-13.13,-0.1093,2.89,0.7796,-0.0359,0.0612,0.818,0.6773,0.6522,0.9828,16.16,0.2783,11.48,2.5052,0.541
M_CANM,Canara Rob Small Cap Fund,8,65.59,2765,13.03,15.36,67.0,30.58,12.82,30.55,-11.92,0.2502,4.41,0.8503,-0.003,0.0823,0.6855,0.385,0.7363,0.9492,32.55,0.4452,22.95,2.3782,0.6145
M_PGSE,PGIM India Small Cap Fund,9,62.62,1869,16.95,14.28,38.0,15.65,10.28,16.01,-12.59,-0.0598,2.45,0.788,0.0019,0.0762,0.5232,0.768,0.6129,1.0035,12.72,0.2904,8.53,2.0047,0.4074
M_MAAI,Mahindra Manulife Small Cap Fund,10,59.71,1365,20.9,,21.0,13.32,5.66,5.52,-18.41,1.0385,8.51,0.7376,0.0263,0.081,1.2199,0.8138,0.4667,0.9846,9.52,0.3379,11.42,3.0301,0.7838
M_QUUS,Quantum Small Cap Fund,11,56.98,1043,13.51,,11.0,7.49,4.88,8.19,-12.0,-0.2881,2.14,0.6739,-0.0457,0.0536,0.4999,0.7673,0.3143,1.0175,4.16,0.2316,3.55,1.9995,0.7037
M_SBILM,SBI Small Cap Fund,12,56.94,4998,12.17,14.69,141.0,25.39,10.92,24.4,-13.75,0.3003,4.94,0.7585,-0.0191,0.1042,0.8097,0.3329,0.8545,0.8967,28.78,0.4808,20.95,2.4727,0.5984
M_ITIM,ITI Small Cap Fund,13,55.04,2394,25.31,19.7,55.0,22.97,9.13,20.25,-14.57,0.0934,2.65,0.8736,0.0667,0.1059,0.6669,0.6914,0.6962,0.9929,25.79,0.4816,17.48,2.3597,0.6901
M_MOON,Motilal Oswal Small Cap Fund,14,54.81,987,23.31,,9.0,10.65,5.86,11.84,-14.37,1.4191,12.62,0.6568,0.158,0.0768,0.789,1.0423,0.2727,0.972,9.42,0.2942,5.87,2.3727,0.68
M_JMPT,JM Small Cap Fund,15,49.65,812,,,3.0,11.59,10.81,17.43,-17.88,0.859,5.05,0.9425,0.1041,0.104,0.2243,,0.1111,1.0115,3.17,0.3135,1.44,1.474,0.5789
M_BARDN,Baroda BNP Paribas Small Cap Fund,16,48.56,1043,14.58,,11.0,2.58,0.3,4.44,-13.74,-0.219,1.06,0.7964,-0.0177,0.0874,0.4804,0.6009,0.3143,1.0071,6.2,0.3191,4.1,1.9047,0.6667
M_NIMS,Nippon India Small Cap Fund,17,47.37,4998,15.4,19.04,141.0,27.37,9.64,25.83,-15.58,0.7097,5.17,0.8559,0.044,0.1154,0.8082,0.3403,0.8545,0.88,32.01,0.5952,24.17,2.3685,0.8852
M_MIPA,Mirae Asset Small Cap Fund,18,45.27,581,,,0.0,,,,,0.6355,9.9,0.5993,-0.0696,0.0412,1.4783,,0.0,0.9839,,0.158,,3.4117,
M_SACP,Samco Small Cap Fund,19,44.08,273,,,0.0,,,,,,,,0.0843,0.0365,,,0.0,1.0183,,0.1161,,,
M_BAJFP,Bajaj Finserv Small Cap Fund,20,42.97,413,,,0.0,,,,,,8.03,,0.0615,0.0453,,,0.0,0.9984,,0.17,,,
M_HEOI,Helios Small Cap Fund,21,42.88,287,,,0.0,,,,,,6.39,,0.1479,0.0588,,,0.0,1.0026,,0.1939,,,
