mfId,name,total_rank,final_score,avg_data_days,avg_cagr_3y,score_Claude,score_GPT,score_Gemini,score_Grok
M_AXVV,Axis Value Fund,1,0.99,1710.0,20.58,81.99,76.8,86.74,63.54
M_DSPVE,DSP Value Fund,2,0.911,1997.0,19.63,76.86,70.86,85.74,56.8
M_MAHD,Mahindra Manulife Focused Fund,3,0.901,2024.0,18.25,77.7,72.84,80.78,55.55
M_AXNM,Axis Multicap Fund,4,0.9,1626.0,20.86,77.56,75.07,79.96,54.16
M_KOTMU,Kotak Multicap Fund,5,0.899,1708.0,21.2,78.58,72.47,77.65,56.73
M_INXO,Invesco India Flexi Cap Fund,6,0.885,1568.0,18.34,73.14,67.39,83.35,58.16
M_WOCE,WOC Flexi Cap Fund,7,0.844,1400.0,16.7,70.41,64.07,73.99,59.82
M_ICIXD,ICICI Pru Flexicap Fund,8,0.839,1778.0,15.91,70.81,60.25,86.61,54.79
M_PARO,Parag Parikh Flexi Cap Fund,9,0.827,4748.0,15.67,76.99,64.34,77.48,50.7
M_BOIX,Bank of India Flexi Cap Fund,10,0.801,2164.0,21.58,71.06,67.42,67.52,52.17
M_CAFF,Canara Rob Focused Fund,11,0.784,1842.0,13.78,61.52,57.82,80.52,55.17
M_SBIUC,SBI Multicap Fund,12,0.766,1542.0,15.35,61.02,59.42,77.09,52.51
M_KOQN,Kotak Contra Fund,13,0.761,4900.0,17.87,69.27,67.14,59.3,50.34
M_MADN,Mahindra Manulife Multi Cap Fund,14,0.76,3312.0,20.06,63.78,71.7,60.0,49.11
M_BANK,Bank of India Multi Cap Fund,15,0.756,1185.0,21.05,72.35,56.22,54.25,59.21
M_ICPIU,ICICI Pru Multicap Fund,16,0.756,4900.0,19.43,73.51,73.68,53.26,44.87
M_ICCSF,ICICI Pru Focused Equity Fund,17,0.754,4894.0,18.52,76.95,71.9,55.0,42.96
M_QUVN,Quant Value Fund,18,0.75,1646.0,25.66,62.76,61.86,64.96,53.12
M_ICCYV,ICICI Pru Value Fund,19,0.749,4900.0,16.34,77.38,68.27,59.87,42.02
M_LTNA,HSBC Value Fund,20,0.749,4900.0,20.35,77.09,75.89,41.48,46.0
M_KOTY,Kotak Focused Fund,21,0.748,2514.0,15.84,57.3,58.09,77.52,52.06
M_LITI,LIC MF Multi Cap Fund,22,0.747,1310.0,19.5,69.78,59.5,58.21,54.22
M_ITFC,ITI Focused Fund,23,0.741,1078.0,19.29,67.07,49.57,53.41,65.37
M_IDFUM,Bandhan Multi Cap Fund,24,0.739,1646.0,15.64,62.5,59.86,66.7,51.83
M_CAVO,Canara Rob Value Fund,25,0.71,1736.0,13.68,57.28,52.89,72.87,51.78
M_SBFQ,SBI Focused Fund,26,0.705,4895.0,18.17,67.17,60.41,65.65,42.97
M_UNOY,Union Value Fund,27,0.704,2738.0,15.63,49.54,56.8,72.78,51.85
M_WOMI,WOC Multi Cap Fund,28,0.703,988.0,16.17,61.62,44.83,53.11,65.21
M_INVC,Invesco India Focused Fund,29,0.693,2072.0,20.93,54.36,61.38,68.91,45.36
M_INTT,Invesco India Contra Fund,30,0.688,4900.0,16.59,64.93,62.62,51.09,47.12
M_HSUA,HSBC Multi Cap Fund,31,0.678,1218.0,20.87,64.92,53.21,47.82,54.62
M_HDCEQ,HDFC Flexi Cap Fund,32,0.677,4900.0,17.29,65.01,68.46,50.17,40.73
M_HDCUI,HDFC Multi Cap Fund,33,0.667,1638.0,15.25,58.02,50.85,63.04,50.17
M_ADYUM,Aditya Birla SL Multi-Cap Fund,34,0.663,1856.0,15.37,58.31,55.75,58.26,47.88
M_EDWU,Edelweiss Flexi Cap Fund,35,0.66,4138.0,16.31,53.08,62.34,52.09,48.26
M_QUTO,Quant Flexi Cap Fund,36,0.655,4894.0,19.56,64.81,60.46,48.91,43.9
M_ITFF,ITI Flexi Cap Fund,37,0.652,1204.0,19.33,64.06,53.19,42.65,53.12
M_ADTUE,Aditya Birla SL Flexi Cap Fund,38,0.635,4900.0,16.71,58.88,65.66,43.87,41.93
M_ADTFU,Aditya Birla SL Focused Fund,39,0.633,4900.0,14.69,49.28,58.33,53.3,48.08
M_KOSN,Kotak Flexicap Fund,40,0.63,4900.0,14.07,54.27,53.67,53.74,48.06
M_JMUU,JM Flexicap Fund,41,0.63,4900.0,17.17,51.91,60.31,52.26,44.87
M_HDCAC,HDFC Value Fund,42,0.629,4900.0,17.01,66.06,69.94,28.3,41.75
M_EDFC,Edelweiss Focused Fund,43,0.628,1400.0,14.6,51.64,49.55,59.02,49.65
M_NIML,Nippon India Multi Cap Fund,44,0.627,4900.0,17.98,66.32,65.98,40.48,37.89
M_BAFN,Bajaj Finserv Flexi Cap Fund,45,0.622,1022.0,14.82,56.58,39.43,49.03,59.46
M_HELF,Helios Flexi Cap Fund,46,0.622,926.0,14.21,58.58,36.79,49.0,60.46
M_MIFE,Mirae Asset Flexi Cap Fund,47,0.615,1198.0,14.4,48.61,45.82,53.18,55.22
M_NIEV,Nippon India Value Fund,48,0.613,4900.0,18.31,62.8,64.85,34.3,41.54
M_HDFSO,HDFC Focused Fund,49,0.609,4900.0,16.91,63.13,72.16,32.78,35.42
M_TAMC,Tata Flexi Cap Fund,50,0.605,2828.0,13.29,45.96,50.8,64.74,44.44
M_ITMU,ITI Multi Cap Fund,51,0.605,2576.0,19.6,44.94,59.22,55.74,43.24
M_SBICO,SBI Contra Fund,52,0.6,4895.0,15.82,58.9,59.62,48.39,37.8
M_QUTT,Quant Focused Fund,53,0.596,4894.0,17.0,54.93,51.86,53.91,42.64
M_MAHX,Mahindra Manulife Flexi Cap Fund,54,0.596,1744.0,12.76,43.19,47.41,61.52,48.85
M_UNOF,Union Focused Fund,55,0.591,2492.0,12.81,43.95,43.61,66.96,47.62
M_FREE,Franklin India Flexi Cap Fund,56,0.589,4900.0,14.54,60.07,58.27,40.26,40.69
M_QUNC,Quant Multi Cap Fund,57,0.581,4894.0,13.33,51.52,42.76,61.7,45.02
M_TAQY,Tata Value Fund,58,0.58,4900.0,15.42,57.14,52.97,43.13,43.4
M_UNMI,Union Multicap Fund,59,0.567,1260.0,16.7,51.37,43.87,43.39,51.55
M_BAMU,Baroda BNP Paribas Multi Cap Fund,60,0.564,4900.0,16.96,54.64,58.48,37.74,40.13
M_HSMY,HSBC Flexi Cap Fund,61,0.549,4900.0,17.85,54.37,64.86,24.35,39.73
M_FRON,Franklin India Focused Equity Fund,62,0.549,4900.0,11.09,51.2,45.24,49.83,43.46
M_IIFS,360 ONE Focused Fund,63,0.548,4236.0,12.55,40.86,42.66,58.3,46.7
M_HSBD,HSBC Focused Fund,64,0.548,2142.0,15.25,46.41,51.14,44.61,44.15
M_UTILO,UTI Value Fund,65,0.537,4900.0,14.97,49.82,57.83,37.43,38.6
M_IDBO,LIC MF Value Fund,66,0.536,2842.0,17.52,38.85,42.58,57.91,46.02
M_PRPW,Sundaram Multi Cap Fund,67,0.534,4900.0,14.83,56.76,54.64,28.09,41.69
M_ITVA,ITI Value Fund,68,0.526,1814.0,16.65,47.52,44.01,48.48,43.01
M_PGAV,PGIM India Flexi Cap Fund,69,0.526,4110.0,10.82,41.13,43.12,53.74,44.58
M_INMC,Invesco India Multicap Fund,70,0.517,4900.0,14.64,51.37,51.59,33.09,41.33
M_MIMC,Mirae Asset Multicap Fund,71,0.513,1016.0,13.16,43.18,37.4,36.0,55.29
M_IDYS,Bandhan Focused Fund,72,0.508,4900.0,15.96,45.35,57.04,32.0,39.35
M_MOI3,Motilal Oswal Flexi Cap Fund,73,0.507,4418.0,18.53,43.77,58.43,32.26,38.68
M_JMVA,JM Value Fund,74,0.506,4900.0,16.04,43.76,53.55,38.7,38.98
M_SUNRX,Sundaram Flexi Cap Fund,75,0.5,1360.0,11.99,34.48,41.07,51.22,46.56
M_ESEL,Navi Flexi Cap Fund,76,0.496,2884.0,12.84,36.05,41.15,52.09,44.26
M_CAOQ,Canara Rob Flexi Cap Fund,77,0.492,4900.0,12.58,41.5,47.17,43.48,40.22
M_EDEWA,Edelweiss Multi Cap Fund,78,0.487,952.0,15.92,48.36,38.31,31.44,49.08
M_NICY,Nippon India Focused Fund,79,0.485,4900.0,12.75,50.81,49.49,28.39,39.88
M_CAML,Canara Rob Multi Cap Fund,80,0.485,1044.0,13.32,41.22,34.47,40.05,51.35
M_NIPIX,Nippon India Flexi Cap Fund,81,0.478,1752.0,14.24,36.01,40.98,47.43,43.64
M_TATY,Tata Focused Fund,82,0.474,2374.0,13.49,36.14,40.61,47.91,42.88
M_IDLV,Bandhan Value Fund,83,0.461,4900.0,13.61,48.09,48.58,28.65,37.46
M_DSOF,DSP Focused Fund,84,0.461,4900.0,15.11,36.74,48.48,34.91,40.71
M_DSYE,DSP Flexi Cap Fund,85,0.455,4900.0,13.59,35.44,44.24,38.3,42.01
M_BARX,Baroda BNP Paribas Flexi Cap Fund,86,0.455,1386.0,15.05,37.02,41.44,37.25,43.87
M_360E,360 ONE Flexicap Fund,87,0.45,1066.0,16.24,43.03,33.44,36.07,46.56
M_TEMO,Templeton India Value Fund,88,0.448,4900.0,14.14,47.4,50.69,24.13,36.24
M_SBUC,SBI Flexicap Fund,89,0.448,4895.0,10.32,31.03,36.24,48.43,44.2
M_IDFMM,Bandhan Flexi Cap Fund,90,0.444,4900.0,13.3,37.5,46.84,31.17,40.38
M_ADTPV,Aditya Birla SL Value Fund,91,0.442,4900.0,18.91,42.02,59.01,19.48,33.91
M_UTFFO,UTI Focused Fund,92,0.435,1744.0,11.32,31.69,37.85,48.61,39.93
M_QUTR,Quantum Value Fund,93,0.433,7386.0,13.48,34.13,52.83,32.65,34.6
M_UNMN,Union Flexi Cap Fund,94,0.432,4900.0,12.68,38.28,45.64,35.09,36.55
