mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,volatility,sharpe,alpha,beta,info_ratio,bayes_shrunk_alpha,bayes_shrink_lambda,block_alpha_n,alpha_pos_frac_12m,alpha_beat_peer_frac_12m,rolling_12m_n,forward_alpha_24m,regime_capture_spread,bear_correction_excess,recovery_half_life,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_xirr_hit_bench,hybrid_xirr_hit_peer,hybrid_xirr_n,max_drawdown,ulcer_perf_index,gain_to_pain,tail_ratio,current_drawdown,vol_drag_adj_return,active_divergence,active_skill_signal,beta_stability,aum_capacity_mult,p1_score,p2_score,p3_score,p4_score,p5_score,confidence,aum,data_weeks
M_AXVV,Axis Value Fund,1,80.67,1758,Value Fund,7.58,19.42,,0.143,0.906,6.65,0.954,1.5,6.45,0.893,4.0,100.0,86.7,30.0,4.88,0.382,-0.95,5.0,22.26,13.09,6.9,100.0,100.0,37.0,-19.44,2.261,0.493,0.889,0.0,15.39,4.32,0.003,0.942,1.0,88.761,91.593,83.318,68.422,69.217,0.97,1586.71,252
M_INXO,Invesco India Flexi Cap Fund,2,79.1,1611,Flexi Cap Fund,3.07,19.73,,0.151,0.876,6.24,1.012,1.223,6.66,0.795,4.0,86.7,87.5,30.0,4.9,0.384,3.81,11.0,24.2,11.51,5.31,100.0,84.4,32.0,-18.97,2.256,0.532,0.908,0.0,16.6,5.16,0.003,0.968,1.0,84.348,83.08,78.215,84.645,76.712,0.97,5273.59,231
M_ICCSF,ICICI Pru Focused Equity Fund,3,77.98,4936,Focused Fund,6.28,19.21,18.02,0.149,0.854,3.66,0.87,0.462,6.31,0.92,5.0,100.0,100.0,30.0,2.47,0.466,17.29,8.0,20.57,15.52,7.25,100.0,100.0,60.0,-30.23,1.908,0.47,1.029,-2.36,14.65,6.04,0.002,0.948,1.0,88.283,85.241,73.73,64.991,61.917,1.0,17011.76,706
M_KOTMU,Kotak Multicap Fund,4,77.82,1751,Multi Cap Fund,8.1,19.78,,0.151,0.878,7.13,1.0,1.418,6.58,0.711,4.0,96.7,57.9,30.0,6.8,0.427,0.31,11.0,22.14,11.55,6.93,100.0,100.0,37.0,-20.77,2.229,0.52,0.956,0.0,16.19,5.02,0.004,0.911,0.995,88.109,80.776,78.339,62.25,78.543,0.97,28074.19,251
M_AXNM,Axis Multicap Fund,5,76.94,1674,Multi Cap Fund,6.83,20.19,,0.143,0.96,5.29,0.947,1.0,6.69,0.87,4.0,93.3,80.0,30.0,4.55,0.299,1.69,11.0,23.84,11.48,6.74,100.0,100.0,34.0,-18.04,2.402,0.498,0.946,-0.05,15.12,5.03,0.003,0.957,1.0,88.543,83.001,72.115,73.3,70.561,0.97,9937.58,240
M_ICIXD,ICICI Pru Flexicap Fund,6,75.56,1821,Flexi Cap Fund,8.25,16.74,16.12,0.14,0.734,4.63,0.927,0.884,5.11,0.88,5.0,96.7,91.3,30.0,4.86,0.4,13.17,11.0,17.86,13.33,6.41,100.0,82.5,40.0,-19.71,1.821,0.506,0.882,0.0,14.96,4.8,0.002,0.903,1.0,77.913,84.421,80.395,50.948,66.867,1.0,22506.87,261
M_ITFC,ITI Focused Fund,7,74.54,1121,Focused Fund,7.99,19.22,,0.144,0.881,5.98,0.959,0.984,7.02,0.895,3.0,100.0,96.4,28.0,4.58,0.283,-0.95,7.0,11.36,9.6,10.34,100.0,100.0,15.0,-18.44,2.656,0.632,1.074,-0.48,17.87,5.79,0.003,0.892,1.0,65.239,93.203,76.51,60.578,87.402,0.97,596.76,161
M_LTNA,HSBC Value Fund,8,74.42,4943,Value Fund,3.28,18.92,17.85,0.173,0.72,5.67,1.037,1.086,4.76,0.78,5.0,96.7,76.7,30.0,3.71,0.227,-6.08,13.0,21.07,11.77,6.52,100.0,100.0,60.0,-40.09,1.525,0.503,1.029,-0.8,17.27,5.44,0.003,0.96,1.0,86.717,81.209,48.345,79.638,76.392,1.0,14828.3,707
M_BANK,Bank of India Multi Cap Fund,9,73.79,1233,Multi Cap Fund,12.22,20.66,,0.148,0.96,8.08,1.006,1.389,6.64,0.689,3.0,100.0,73.3,30.0,6.85,0.44,2.95,11.0,11.09,8.6,10.28,100.0,89.5,19.0,-19.67,2.694,0.78,1.027,0.0,21.48,5.86,0.005,0.832,1.0,59.435,88.379,81.122,62.47,92.602,0.97,1186.47,177
M_ICCYV,ICICI Pru Value Fund,10,73.71,4943,Value Fund,-0.45,14.9,17.01,0.145,0.578,5.18,0.842,0.657,5.16,0.653,5.0,86.7,86.7,30.0,3.42,0.532,16.64,9.0,21.34,14.84,3.07,100.0,91.7,60.0,-33.18,1.315,0.557,1.139,-6.86,15.94,6.32,0.003,0.924,0.944,80.348,75.162,73.554,57.165,69.598,1.0,60198.25,707
M_DSPVE,DSP Value Fund,11,73.58,2045,Value Fund,10.67,17.75,13.8,0.109,1.034,5.7,0.596,0.285,2.9,0.664,5.0,100.0,86.7,30.0,3.28,0.339,15.37,6.0,14.91,10.71,10.78,95.8,39.6,48.0,-15.64,2.925,0.711,1.157,0.0,16.11,8.81,0.005,0.937,1.0,61.739,68.916,81.786,73.829,91.328,1.0,1975.27,293
M_LITI,LIC MF Multi Cap Fund,12,73.26,1352,Multi Cap Fund,8.92,19.89,,0.149,0.899,6.99,1.026,1.222,6.9,0.909,3.0,93.3,67.9,30.0,4.49,0.266,-11.68,11.0,16.56,8.67,7.67,100.0,100.0,23.0,-18.94,2.756,0.614,1.176,0.0,17.91,5.84,0.004,0.942,1.0,72.587,81.041,62.829,73.627,94.057,0.97,2042.49,194
M_MAHD,Mahindra Manulife Focused Fund,13,72.94,2066,Focused Fund,1.95,16.3,16.29,0.138,0.712,5.9,0.908,1.206,4.06,0.66,5.0,83.3,70.0,30.0,4.24,0.398,10.75,11.0,18.02,9.98,4.1,100.0,81.2,48.0,-16.47,1.899,0.673,0.945,-2.84,19.2,4.22,0.002,0.981,1.0,71.522,69.064,71.97,84.808,75.037,1.0,2176.76,296
M_WOCE,WOC Flexi Cap Fund,14,72.13,1443,Flexi Cap Fund,4.88,16.56,,0.127,0.791,5.12,0.931,1.341,5.14,0.931,3.0,96.7,73.3,30.0,3.9,0.286,0.9,8.0,17.02,8.79,6.0,100.0,96.2,26.0,-15.26,2.223,0.611,0.966,0.0,16.11,3.51,0.002,0.93,1.0,70.348,82.39,77.221,53.146,80.335,0.97,8582.39,207
M_BOIX,Bank of India Flexi Cap Fund,15,70.87,2206,Flexi Cap Fund,9.11,21.48,17.41,0.168,0.89,6.71,1.054,1.081,4.14,0.55,5.0,76.7,86.7,30.0,7.29,0.199,-7.47,11.0,17.68,8.46,7.42,94.3,77.4,53.0,-23.25,2.341,0.693,1.109,0.0,23.3,6.77,0.005,0.865,1.0,65.565,71.422,65.134,62.613,94.97,1.0,2459.86,316
M_ICPIU,ICICI Pru Multicap Fund,16,70.77,4943,Multi Cap Fund,6.76,17.94,16.19,0.157,0.729,3.8,0.946,0.713,4.68,0.828,5.0,86.7,80.0,30.0,3.2,0.294,5.54,14.0,19.16,9.93,7.91,100.0,91.7,60.0,-36.06,1.685,0.479,1.088,-0.56,15.06,4.83,0.002,0.956,1.0,81.217,73.079,57.027,65.422,71.095,1.0,18193.89,707
M_PARO,Parag Parikh Flexi Cap Fund,17,70.18,4796,Flexi Cap Fund,-1.09,14.46,13.54,0.124,0.642,6.54,0.656,0.469,3.01,0.665,5.0,80.0,76.0,30.0,5.35,0.537,17.72,8.0,18.87,10.47,3.35,96.7,73.3,60.0,-27.32,1.733,0.705,1.212,-4.64,16.77,8.69,0.006,0.924,0.85,69.043,56.94,86.088,50.932,80.285,1.0,143388.43,686
M_KOQN,Kotak Contra Fund,18,69.45,4943,Contra Fund,3.92,17.65,16.41,0.151,0.737,3.91,0.929,0.914,4.29,0.74,5.0,96.7,70.0,30.0,2.84,0.259,3.54,12.0,18.8,11.09,4.68,100.0,90.0,60.0,-34.88,1.711,0.498,1.041,-1.74,15.15,3.77,0.001,0.956,1.0,77.652,75.88,56.306,60.079,70.045,1.0,5331.37,707
