mfId,name,rank,score,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,alpha_1y,beta_1y,beta_distance_1y,info_1y,sortino_1y,up_capture_1y,down_capture_1y,capture_spread_1y,bear_excess_1y,high_vol_excess_1y,max_drawdown_2y,ulcer_2y,recovery_speed_2y,rolling_beat_rate_2y,rolling_alpha_stability_2y,rolling_active_ir_2y,cross_horizon_consistency,momentum_3m_rel,momentum_6m_rel,momentum_12_1_rel,overheat_penalty,volatility_1y,aum,data_weeks,history_years,factor_coverage,history_reliability,market_regime
M_ICCSF,ICICI Pru Focused Equity Fund,1,83.15,4816,Focused Fund,7.09,22.32,19.08,4.81,0.947,0.05,1.272,0.042,0.965,0.815,0.149,0.25,-0.14,16.76,5.89,0.514,100.00,0.88,2.871,0.668,-1.29,0.84,8.58,0.00,13.38,15145.4,689,13.19,1.000,1.000,correction
M_SBFQ,SBI Focused Fund,2,82.7,4823,Focused Fund,10.15,18.64,14.88,6.47,0.709,0.29,1.201,0.363,0.821,0.587,0.234,0.56,0.14,10.84,3.60,0.517,91.14,0.85,1.353,0.774,1.11,5.62,6.78,0.00,10.75,43310.54,690,13.20,1.000,1.000,correction
M_KOTY,Kotak Focused Fund,3,82.67,2436,Focused Fund,10.26,18.20,14.95,7.73,0.940,0.06,1.654,0.272,0.990,0.757,0.233,0.33,-0.11,17.65,6.55,0.383,92.41,0.74,1.309,0.784,1.69,3.53,9.81,0.00,13.57,3940.04,349,6.67,1.000,1.000,correction
M_LTNA,HSBC Value Fund,4,81.66,4823,Value Fund,9.90,22.83,20.13,7.51,0.952,0.05,1.317,0.234,1.035,0.813,0.222,0.26,-0.01,19.54,6.17,0.340,79.75,0.50,0.862,0.721,3.06,3.83,7.88,0.00,14.13,14750.42,690,13.20,1.000,1.000,correction
M_GRMT,Groww Multicap Fund,5,78.36,455,Multi Cap Fund,10.71,,,8.67,1.037,0.04,1.664,0.267,1.047,0.800,0.246,0.27,-0.10,,,,90.00,0.75,1.259,,0.04,-0.64,10.39,0.00,14.94,325.96,66,1.25,0.714,0.757,correction
M_DSPVE,DSP Value Fund,6,77.87,1918,Value Fund,12.02,20.67,16.52,7.17,0.449,0.55,0.821,0.584,0.628,0.330,0.297,0.91,0.29,11.84,3.67,0.657,83.54,0.55,1.044,0.791,7.56,8.15,3.13,4.43,10.27,1483.87,275,5.25,1.000,1.000,correction
M_ITFC,ITI Focused Fund,7,77.32,1001,Focused Fund,8.68,,,6.24,0.923,0.08,1.123,0.144,0.984,0.792,0.192,0.28,-0.29,18.44,5.66,0.514,89.87,0.69,1.516,,2.58,3.98,9.09,0.00,13.73,567.1,144,2.74,0.857,0.861,correction
M_MAMG,Mahindra Manulife Value Fund,8,76.02,378,Value Fund,9.41,,,6.76,0.890,0.11,1.146,0.215,0.965,0.752,0.212,0.34,-0.08,,,,93.10,0.68,1.242,,3.88,6.14,,,13.48,678.95,55,1.03,0.619,0.728,correction
M_HDCEQ,HDFC Flexi Cap Fund,9,75.29,4823,Flexi Cap Fund,4.82,20.99,20.15,1.47,0.708,0.29,0.433,-0.158,0.746,0.653,0.094,0.47,0.02,11.92,3.99,0.484,100.00,0.86,1.831,0.627,1.41,1.12,4.20,0.00,10.47,100455.32,690,13.20,1.000,1.000,correction
M_ADTUE,Aditya Birla SL Flexi Cap Fund,10,75.21,4823,Flexi Cap Fund,6.31,18.42,14.28,3.83,0.903,0.10,1.216,-0.014,0.961,0.836,0.125,0.22,-0.18,17.00,5.99,0.353,100.00,0.79,2.544,0.679,0.38,2.77,5.10,0.00,12.62,25206.6,690,13.20,1.000,1.000,correction
M_HDFSO,HDFC Focused Fund,11,74.95,4823,Focused Fund,4.54,20.91,21.77,1.68,0.807,0.19,0.491,-0.159,0.801,0.716,0.085,0.39,-0.13,11.13,3.87,0.517,100.00,0.88,1.637,0.618,1.75,0.96,4.01,0.00,11.64,27136.2,690,13.20,1.000,1.000,correction
M_AXVV,Axis Value Fund,12,74.9,1638,Value Fund,7.23,23.69,,4.87,0.932,0.07,1.248,0.050,0.985,0.834,0.151,0.23,-0.16,17.06,5.93,0.340,78.48,0.65,0.828,0.571,2.53,3.20,4.90,0.00,13.23,1374.94,235,4.48,0.952,0.967,correction
M_KOTMU,Kotak Multicap Fund,13,73.79,1631,Multi Cap Fund,8.01,23.86,,5.83,0.972,0.03,1.209,0.101,0.985,0.810,0.175,0.26,-0.09,20.77,7.25,0.340,67.09,0.52,0.593,0.587,0.34,0.96,6.50,0.00,14.04,23886.02,234,4.47,0.952,0.966,correction
M_BAFN,Bajaj Finserv Flexi Cap Fund,14,73.73,945,Flexi Cap Fund,7.21,,,4.79,0.912,0.09,0.966,0.048,0.933,0.778,0.155,0.30,-0.28,17.28,5.98,0.391,87.34,0.65,1.080,,0.92,-0.48,5.61,0.00,13.37,6501.1,136,2.59,0.857,0.853,correction
M_ICCYV,ICICI Pru Value Fund,15,73.47,4823,Value Fund,5.41,19.95,19.87,2.14,0.738,0.26,0.635,-0.099,0.799,0.693,0.106,0.42,-0.17,13.67,5.01,0.383,91.14,0.73,1.675,0.643,0.69,3.46,2.66,0.00,10.52,60571.34,690,13.20,1.000,1.000,correction
M_MIFE,Mirae Asset Flexi Cap Fund,16,72.51,1120,Flexi Cap Fund,5.90,17.25,,3.60,0.927,0.07,0.893,-0.043,0.967,0.852,0.115,0.20,-0.10,15.93,5.39,0.514,96.20,0.71,1.895,0.591,0.13,1.16,5.40,0.00,13.23,3655.79,161,3.07,0.952,0.896,correction
M_HDCAC,HDFC Value Fund,17,72.23,4823,Value Fund,6.13,19.14,16.38,3.66,0.901,0.10,0.988,-0.028,0.935,0.812,0.123,0.26,-0.19,18.14,6.44,0.340,98.73,0.66,1.488,0.669,0.60,1.78,5.29,0.00,12.78,7413.03,690,13.20,1.000,1.000,correction
M_BANK,Bank of India Multi Cap Fund,18,71.89,1113,Multi Cap Fund,7.47,21.71,,5.09,0.921,0.08,0.994,0.072,0.950,0.789,0.161,0.29,-0.09,19.67,6.62,0.340,70.89,0.57,0.580,0.592,2.03,3.60,5.04,0.00,13.53,1012.41,160,3.05,0.952,0.895,correction
M_HSBD,HSBC Focused Fund,19,70.01,2065,Focused Fund,7.71,17.83,14.46,5.57,0.963,0.04,0.962,0.084,0.914,0.740,0.174,0.36,-0.28,19.90,6.74,0.215,70.89,0.37,0.410,0.721,1.29,1.59,4.47,0.00,14.31,1693.16,296,5.65,1.000,1.000,correction
M_KOQN,Kotak Contra Fund,20,69.55,4823,Contra Fund,5.92,20.71,17.36,3.51,0.908,0.09,0.888,-0.043,0.915,0.796,0.119,0.28,-0.23,18.93,6.87,0.290,70.89,0.51,0.826,0.654,0.81,1.16,5.62,0.00,12.96,5086.82,690,13.20,1.000,1.000,correction
M_WOMI,WOC Multi Cap Fund,21,69.48,910,Multi Cap Fund,5.87,,,3.48,0.912,0.09,0.913,-0.045,0.929,0.812,0.117,0.26,-0.17,16.43,5.39,0.368,82.28,0.78,1.135,,-0.68,-0.66,4.11,0.00,12.96,3111.63,131,2.49,0.857,0.848,correction
M_KOSN,Kotak Flexicap Fund,22,69.18,4823,Flexi Cap Fund,5.68,16.73,13.71,3.29,0.905,0.10,0.761,-0.060,0.922,0.809,0.113,0.26,-0.07,16.22,5.42,0.183,74.68,0.54,0.977,0.678,1.72,1.63,6.31,0.00,13.07,56853.23,690,13.20,1.000,1.000,correction
M_ICIXD,ICICI Pru Flexicap Fund,23,68.28,1701,Flexi Cap Fund,6.05,18.67,,4.14,0.987,0.01,0.727,-0.030,0.891,0.760,0.131,0.33,-0.16,19.71,7.42,0.383,69.62,0.64,0.787,0.581,-1.81,-2.42,5.33,0.00,14.54,20437.47,244,4.66,0.952,0.975,correction
M_MIMC,Mirae Asset Multicap Fund,24,67.92,938,Multi Cap Fund,5.06,,,2.94,0.955,0.04,0.750,-0.101,0.931,0.835,0.096,0.23,-0.10,18.16,6.02,0.514,84.81,0.68,1.050,,-1.49,-1.83,5.92,0.00,13.55,4747.07,135,2.57,0.857,0.852,correction
M_MADN,Mahindra Manulife Multi Cap Fund,25,67.7,3234,Multi Cap Fund,6.17,20.80,18.83,4.10,0.964,0.04,0.778,-0.021,0.974,0.848,0.126,0.21,-0.16,19.76,6.96,0.200,64.56,0.36,0.592,0.658,1.71,1.05,4.62,0.00,14.12,6173.77,463,8.85,1.000,1.000,correction
M_HELF,Helios Flexi Cap Fund,26,67.69,854,Flexi Cap Fund,6.04,,,4.30,1.022,0.02,0.757,-0.030,1.031,0.910,0.121,0.12,-0.03,17.90,5.92,0.233,81.01,0.73,0.894,,-0.70,-1.62,5.92,0.00,14.90,6211.45,123,2.34,0.857,0.841,correction
M_UNOY,Union Value Fund,27,67.63,2660,Value Fund,5.59,18.77,15.91,3.15,0.887,0.11,0.634,-0.064,0.899,0.787,0.112,0.29,-0.31,17.52,5.91,0.346,79.75,0.44,0.972,0.659,1.37,1.69,4.78,0.00,13.15,375.37,381,7.28,1.000,1.000,correction
M_ITFF,ITI Flexi Cap Fund,28,66.26,1127,Flexi Cap Fund,6.84,22.09,,4.99,1.022,0.02,1.101,0.024,1.010,0.867,0.143,0.18,-0.10,21.41,7.29,0.200,67.09,0.48,0.395,0.573,1.86,1.59,5.34,0.00,14.53,1247.29,162,3.09,0.952,0.897,correction
M_ADTFU,Aditya Birla SL Focused Fund,29,65.53,4823,Focused Fund,4.93,17.46,13.85,2.57,0.906,0.09,0.648,-0.117,0.990,0.904,0.086,0.13,-0.22,15.85,6.07,0.327,86.08,0.75,1.173,0.652,0.53,3.65,4.24,0.00,12.99,7971.34,690,13.20,1.000,1.000,correction
M_NIML,Nippon India Multi Cap Fund,30,65.35,4823,Multi Cap Fund,4.56,21.49,21.17,2.35,0.933,0.07,0.579,-0.143,0.881,0.795,0.085,0.28,0.02,18.52,6.41,0.383,58.23,0.43,0.388,0.619,2.17,-0.82,3.39,0.00,13.36,50820.01,690,13.20,1.000,1.000,correction
M_BOIX,Bank of India Flexi Cap Fund,31,64.51,2086,Flexi Cap Fund,5.74,23.40,19.70,3.91,0.990,0.01,0.570,-0.058,1.005,0.890,0.115,0.15,0.28,23.25,8.17,0.429,56.96,0.28,-0.029,0.636,3.71,1.98,4.55,0.00,15.07,2186.49,299,5.71,1.000,1.000,correction
M_EDWU,Edelweiss Flexi Cap Fund,32,63.91,4060,Flexi Cap Fund,4.77,19.30,16.23,2.37,0.897,0.10,0.620,-0.127,0.936,0.851,0.085,0.20,-0.25,18.84,6.99,0.290,74.68,0.61,0.701,0.637,0.34,1.56,4.22,0.00,12.84,3133.23,581,11.12,1.000,1.000,correction
M_ITMU,ITI Multi-Cap Fund,33,62.61,2499,Multi Cap Fund,7.86,20.74,14.18,6.03,1.038,0.04,1.305,0.091,1.040,0.871,0.169,0.18,-0.05,23.09,8.43,0.200,50.63,0.25,-0.051,0.689,2.16,2.12,6.17,0.00,14.74,1336.69,358,6.84,1.000,1.000,correction
M_UNMI,Union Multicap Fund,34,62.26,1183,Multi Cap Fund,6.02,19.23,,4.06,0.985,0.02,0.798,-0.030,1.014,0.895,0.119,0.14,-0.30,19.38,6.82,0.290,70.89,0.49,0.565,0.575,1.70,0.74,4.44,0.00,14.29,1318.17,170,3.24,0.952,0.905,correction
M_ESEL,Navi Flexi Cap Fund,35,61.3,2807,Flexi Cap Fund,6.20,14.64,13.61,3.77,0.902,0.10,0.835,-0.022,0.883,0.753,0.130,0.34,-0.09,19.28,7.31,0.200,62.03,0.41,0.318,0.714,2.16,3.08,4.59,0.00,13.09,261.1,402,7.69,1.000,1.000,correction
M_IDBO,LIC MF Value Fund,36,60.97,2765,Value Fund,6.73,16.78,13.96,4.90,0.996,0.00,0.685,0.016,0.904,0.752,0.152,0.34,0.29,23.37,9.75,0.500,58.23,0.27,0.020,0.707,5.06,4.19,2.03,3.03,15.26,202.68,396,7.57,1.000,1.000,correction
M_HSUA,HSBC Multi Cap Fund,37,60.58,1141,Multi Cap Fund,5.62,22.51,,3.67,0.985,0.01,0.741,-0.059,0.981,0.870,0.111,0.18,-0.17,19.66,6.56,0.316,59.49,0.37,0.336,0.541,0.90,-0.61,3.14,0.00,14.24,5301.35,164,3.12,0.952,0.899,correction
M_LITI,LIC MF Multi Cap Fund,38,60.15,1232,Multi Cap Fund,3.90,20.89,,2.18,1.008,0.01,0.385,-0.182,0.927,0.858,0.069,0.19,-0.08,18.94,6.00,0.353,62.03,0.51,0.519,0.508,0.78,-0.13,2.88,0.00,14.74,1828.51,177,3.37,0.952,0.911,correction
M_IDFMM,Bandhan Flexi Cap Fund,39,60.02,4823,Flexi Cap Fund,4.67,16.42,13.01,1.97,0.845,0.15,0.649,-0.159,0.874,0.790,0.084,0.29,-0.06,16.70,6.61,0.323,91.14,0.62,1.452,0.653,0.62,0.82,0.39,0.23,11.89,7427.24,690,13.20,1.000,1.000,correction
M_FRANU,Franklin India Multi Cap Fund,40,59.66,595,Multi Cap Fund,4.19,,,2.22,0.970,0.03,0.490,-0.154,0.942,0.869,0.073,0.18,-0.23,,,,70.00,0.58,0.597,,-1.64,-2.00,4.72,0.00,13.95,4863.89,86,1.63,0.714,0.777,correction
