mfId,name,rank,score,evidence_qualified,data_days,subsector,cagr_1y,cagr_3y,cagr_5y,hybrid_xirr_p50,hybrid_xirr_p25,hybrid_xirr_recent,hybrid_hit_bench,hybrid_hit_peer,hybrid_window_n,up_recovery_capture,bull_recovery_excess,momentum_3m_rel,momentum_6m_rel,overheat_penalty,max_drawdown_2y,ulcer_2y,down_capture,bear_excess,recovery_weeks,tail_loss_1y,volatility_1y,current_drawdown,factor_alpha,factor_ir,alpha_stability,market_beta,small_mid_tilt,hybrid_score,recovery_score,resilience_score,active_skill_score,confidence_score,history_confidence,capacity_multiplier,xirr_coverage,aum,data_weeks,history_years,latest_nav_date,market_regime
M_AXVV,Axis Value Fund,1,71.95,True,1825,Value Fund,8.04,18.62,16.54,23.15,12.94,10.34,100.0,100.0,36.0,1.15,10.48,5.58,6.29,0.0,-17.14,6.11,0.88,-0.39,33.0,-2.79,12.24,-2.32,7.04,1.91,1.61,0.41,0.3,89.47,77.81,55.6,90.56,87.32,0.9,1.0,1.0,1879.94,262,5.0,2026-09-21,sideways
M_AXNM,Axis Multicap Fund,2,71.86,True,1739,Multi Cap Fund,9.79,20.1,15.97,24.29,11.2,11.2,100.0,100.0,33.0,1.15,10.46,8.15,12.88,0.0,-18.08,6.56,0.87,1.59,68.0,-2.86,12.97,-1.64,7.52,1.7,1.29,0.89,0.22,88.0,86.34,54.36,85.99,86.8,0.9,1.0,1.0,11984.67,250,4.76,2026-09-21,sideways
M_MADN,Mahindra Manulife Multi Cap Fund,3,69.54,True,1826,Multi Cap Fund,12.44,17.91,16.31,19.25,10.84,12.77,100.0,88.89,36.0,1.21,15.13,6.02,11.89,0.0,-20.17,6.98,0.94,1.28,44.0,-2.29,13.07,-2.62,4.52,0.93,1.3,0.43,0.55,81.36,88.93,57.72,75.38,91.61,0.9,1.0,1.0,7662.34,262,5.0,2026-09-21,sideways
M_ICCSF,ICICI Pru Focused Fund,4,68.79,True,1826,Focused Fund,-0.34,17.07,15.28,22.73,15.59,7.5,100.0,100.0,36.0,1.08,5.9,1.01,1.53,0.0,-16.76,6.81,0.85,11.97,17.0,-3.07,13.78,-5.46,7.31,1.92,2.22,0.84,-0.04,87.5,55.71,61.52,87.77,91.61,0.9,1.0,1.0,17763.54,262,5.0,2026-09-21,sideways
M_HDCAC,HDFC Value Fund,5,67.26,True,1826,Value Fund,5.91,16.41,14.16,19.1,11.46,8.7,100.0,97.22,36.0,1.06,4.59,3.69,6.03,0.0,-18.23,6.73,0.88,4.48,34.0,-2.59,12.73,-1.94,5.86,1.92,1.91,0.72,0.09,78.43,62.66,63.97,85.5,91.61,0.9,1.0,1.0,8265.95,262,5.0,2026-09-21,sideways
M_INXO,Invesco India Flexi Cap Fund,6,66.69,True,1680,Flexi Cap Fund,0.88,18.25,15.72,23.28,9.17,7.88,100.0,87.1,31.0,1.13,9.07,3.07,11.76,0.0,-19.4,7.63,0.92,5.11,17.0,-3.07,15.58,-2.9,6.08,1.21,0.83,0.22,0.5,76.57,77.48,55.64,83.08,86.59,0.9,1.0,1.0,5708.83,241,4.6,2026-09-21,sideways
M_HDFSO,HDFC Focused Fund,7,65.05,True,1826,Focused Fund,-1.59,15.6,18.21,24.58,15.16,6.1,100.0,100.0,36.0,0.98,-1.56,1.29,-0.44,0.0,-13.98,5.15,0.68,16.31,26.0,-2.25,12.36,-4.56,6.98,1.92,1.79,0.78,-0.14,87.36,29.6,74.34,85.2,90.96,0.9,0.98,1.0,28200.67,262,5.0,2026-09-21,sideways
M_INVC,Invesco India Focused Fund,8,64.3,True,1826,Focused Fund,3.5,21.75,15.2,26.6,8.68,7.27,77.78,69.44,36.0,1.2,14.59,5.73,16.54,0.0,-21.73,8.55,0.97,3.61,17.0,-3.4,16.24,-3.39,8.54,1.28,0.47,0.74,0.32,67.38,89.16,49.59,79.17,91.61,0.9,1.0,1.0,6453.55,262,5.0,2026-09-21,sideways
M_KOTMU,Kotak Multi Cap Fund,9,63.52,True,1818,Multi Cap Fund,4.14,17.09,16.6,22.12,11.66,7.33,100.0,100.0,36.0,1.12,8.76,1.92,3.84,0.0,-21.0,7.36,0.88,-0.09,34.0,-3.04,12.9,-1.84,4.49,1.11,1.73,1.09,0.18,84.33,64.83,55.45,71.52,86.53,0.9,0.98,1.0,29274.39,261,4.98,2026-09-21,sideways
M_HDCEQ,HDFC Flexi Cap Fund,10,62.62,True,1826,Flexi Cap Fund,0.65,15.98,17.25,23.87,14.72,7.13,100.0,100.0,36.0,0.99,-0.41,2.67,1.4,0.0,-13.32,4.95,0.75,14.72,14.0,-2.34,11.34,-2.42,7.22,2.01,1.91,0.99,-0.22,87.4,40.12,75.78,85.47,89.2,0.9,0.91,1.0,113606.47,262,5.0,2026-09-21,sideways
M_ICIXD,ICICI Pru Flexi Cap Fund,11,62.49,True,1826,Flexi Cap Fund,3.76,16.24,15.14,17.74,12.81,11.14,100.0,80.56,36.0,0.98,-1.24,4.32,8.7,0.0,-19.71,7.71,0.82,6.78,29.0,-3.51,15.27,-3.92,5.7,1.11,1.57,1.44,-0.18,78.66,47.98,61.78,72.95,91.61,0.9,1.0,1.0,24099.78,262,5.0,2026-09-21,sideways
M_BOIX,Bank of India Flexi Cap Fund,12,62.1,True,1826,Flexi Cap Fund,10.45,19.69,16.91,20.83,10.43,11.0,94.44,88.89,36.0,1.22,15.9,5.29,10.07,0.24,-23.73,8.56,1.01,-5.64,62.0,-2.71,12.53,-1.26,4.52,0.93,1.25,2.05,0.04,77.98,80.84,39.55,66.16,91.61,0.9,1.0,1.0,2953.0,262,5.0,2026-09-21,sideways
M_LTNA,HSBC Value Fund,13,61.24,True,1826,Value Fund,2.34,15.88,16.04,21.81,10.91,6.91,100.0,100.0,36.0,1.14,9.79,0.21,-0.19,0.0,-19.61,6.28,0.93,-0.96,17.0,-3.03,12.46,-3.47,3.19,0.72,1.04,1.1,0.2,81.36,60.05,55.59,55.65,91.61,0.9,1.0,1.0,15372.81,262,5.0,2026-09-21,sideways
