mfId,name,rank,score,data_days,subsector,aum,cagr_3y,cagr_5y,mean_xirr,p20_xirr,asymmetry,appraisal_1y,r2_1y,ir_3y,ir_6m,vol_3y,vol_6m,d_cap_3y,d_cap_6m,penalty_mult
M_SBFQ,SBI Focused Fund,1.0,111.98,1242,Focused Fund,50040.77,15.67,11.60,17.16,12.42,1.01,1.88,0.74,0.70,1.97,11.99,14.15,0.68,0.58,1.00
M_ICPIU,ICICI Pru Multi Cap Fund,2.0,110.94,1233,Multi Cap Fund,19537.64,16.09,14.97,21.21,8.10,0.97,1.80,0.88,1.40,3.14,13.86,16.41,0.88,0.97,1.00
M_IDBO,LIC MF Value Fund,3.0,104.14,1233,Value Fund,301.53,17.77,14.28,17.08,8.32,0.99,3.15,0.82,0.99,4.74,17.21,15.54,0.97,0.63,1.00
M_INXO,Invesco India Flexi Cap Fund,4.0,98.38,1133,Flexi Cap Fund,5708.83,18.26,,23.18,7.12,1.02,0.63,0.88,1.40,4.01,15.54,16.45,0.99,0.80,1.00
M_BOIX,Bank of India Flexi Cap Fund,5.0,97.94,1233,Flexi Cap Fund,2953.0,19.71,16.91,23.73,8.18,0.96,2.05,0.80,1.24,3.84,17.65,14.08,1.02,0.69,1.00
M_INVC,Invesco India Focused Fund,6.0,97.90,1233,Focused Fund,6453.55,21.77,15.20,24.93,6.80,1.01,0.88,0.82,1.52,4.50,16.07,16.75,0.98,0.80,1.00
M_ESEL,Navi Flexi Cap Fund,7.0,95.46,1234,Flexi Cap Fund,297.31,11.85,11.56,14.58,8.03,0.98,2.32,0.87,0.44,3.98,14.07,15.61,0.91,0.75,1.00
M_KOTY,Kotak Focused Fund,8.0,95.05,1232,Focused Fund,4457.06,15.01,12.31,17.54,10.63,0.99,1.49,0.88,1.20,1.72,14.22,14.79,0.90,1.03,1.00
M_HDCAC,HDFC Value Fund,9.0,94.82,1233,Value Fund,8265.95,16.42,14.17,19.90,8.70,0.97,1.98,0.91,1.82,4.30,13.78,14.02,0.90,0.80,1.00
M_CAFF,Canara Rob Focused Fund,10.0,90.40,1233,Focused Fund,2871.75,13.39,11.99,18.24,7.96,1.00,-0.06,0.87,0.67,0.67,13.57,14.21,0.88,0.91,1.00
M_ADTUE,Aditya Birla SL Flexi Cap Fund,11.0,89.26,1233,Flexi Cap Fund,29044.24,15.13,11.59,17.99,9.74,0.95,2.72,0.93,1.42,4.80,13.31,12.71,0.89,0.80,1.00
M_ICCSF,ICICI Pru Focused Fund,12.0,87.67,1233,Focused Fund,17763.54,17.08,15.28,22.87,11.79,1.02,0.50,0.90,1.55,0.78,13.48,15.32,0.89,1.04,0.80
M_AXNM,Axis Multicap Fund,13.0,87.49,1179,Multi Cap Fund,11984.67,20.12,,23.94,9.12,0.86,2.14,0.85,1.86,5.60,14.83,14.53,0.92,0.59,1.00
