mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,capture_spread,omega
M_MAHD,Mahindra Manulife Focused Fund,1,87.55,Focused Fund,2100,16.06,15.36,45.0,19.93,11.09,19.48,-9.59,1.1523,6.46,0.8231,-0.0697,0.0513,1.0634,0.9754,0.6522,0.9978,0.8689,0.3239,2.8578
M_DSPVE,DSP Value Fund,2,86.77,Value Fund,2072,18.35,14.22,44.0,17.42,10.95,18.2,-7.53,0.2986,7.4,0.4674,0.0607,0.0382,0.9763,1.1729,0.6471,0.9979,0.85,0.1804,3.1218
M_AXVV,Axis Value Fund,3,84.75,Value Fund,1792,19.97,17.16,35.0,24.14,14.2,23.92,-9.79,1.6216,6.14,0.8829,-0.0267,0.0566,0.6482,1.0271,0.5932,0.9982,0.8431,0.4236,2.2601
M_PARO,Parag Parikh Flexi Cap Fund,4,83.46,Flexi Cap Fund,4830,14.65,13.19,135.0,18.98,9.47,17.83,-9.36,0.4303,8.89,0.6175,-0.0885,0.0459,0.7188,0.5362,0.8491,0.93,0.8675,-0.1529,2.8644
M_ICIXD,ICICI Pru Flexicap Fund,5,81.96,Flexi Cap Fund,1855,19.3,16.86,37.0,19.88,14.88,19.58,-10.63,1.0194,5.86,0.8098,0.0088,0.0557,0.6962,0.9793,0.6066,0.9759,0.8491,0.2781,2.4838
M_AXNM,Axis Multicap Fund,6,78.93,Multi Cap Fund,1708,21.3,17.11,32.0,24.3,12.07,23.79,-10.65,1.0956,4.95,0.8389,0.0808,0.0564,0.6861,1.1807,0.5714,0.989,0.8333,0.3419,2.2581
M_BOIX,Bank of India Flexi Cap Fund,7,78.85,Flexi Cap Fund,2240,22.19,18.12,50.0,21.23,8.94,19.25,-13.19,1.0635,3.33,0.9461,0.1347,0.0635,1.1484,0.9541,0.6757,0.9972,0.8333,0.6095,3.0246
M_KOTMU,Kotak Multicap Fund,8,78.29,Multi Cap Fund,1785,19.03,17.26,35.0,25.43,13.09,24.84,-11.4,1.5614,5.28,0.9557,0.1243,0.059,0.6378,0.9159,0.5932,0.9707,0.8431,0.5044,2.1775
M_CAFF,Canara Rob Focused Fund,9,76.52,Focused Fund,1918,14.9,13.52,39.0,17.99,12.36,17.87,-9.92,0.6881,4.18,0.8227,0.005,0.0548,0.6183,0.8383,0.619,0.9971,0.8364,0.1611,2.3055
M_KOQN,Kotak Contra Fund,10,76.31,Contra Fund,4977,17.72,16.04,140.0,18.11,9.17,17.77,-12.27,0.8866,4.0,0.9483,-0.0049,0.0649,0.5489,0.5082,0.8537,0.9946,0.9359,0.1972,2.2651
M_MADN,Mahindra Manulife Multi Cap Fund,11,76.3,Multi Cap Fund,3388,18.75,17.71,87.0,21.23,8.15,22.06,-13.62,0.9954,5.68,0.9525,0.0435,0.0682,0.6066,0.6135,0.7838,0.9931,0.9029,0.4676,2.2294
M_INXO,Invesco India Flexi Cap Fund,12,75.89,Flexi Cap Fund,1645,19.99,18.11,30.0,23.63,11.69,21.68,-12.33,0.9149,4.68,0.843,0.0835,0.058,0.7004,1.054,0.5556,0.9947,0.8261,0.314,2.4248
M_INTT,Invesco India Contra Fund,13,75.68,Contra Fund,4977,16.83,14.75,140.0,20.06,9.15,18.96,-12.86,1.056,2.6,0.9717,0.0001,0.0687,0.5927,0.5098,0.8537,0.9799,0.9103,0.5766,2.2329
