asof,n,xirr_mean,xirr_p25,hold_ret,hold_dd,downside_capture,ulcer,sortino,calmar,gold_part,metals_overfit,alloc_stability,eq_down_prot
2021-11-01,8,,,,,,-0.4285714285714286,,,-0.04761904761904763,,0.2380952380952381,
2022-02-01,8,,,,,,-0.261904761904762,,,0.023809523809523815,,0.11904761904761905,
2022-05-01,8,,,,,-0.07142857142857144,-0.28571428571428575,-0.04761904761904763,,0.023809523809523815,,0.023809523809523815,-0.07142857142857144
2022-08-01,8,,,,,-0.07142857142857144,-0.28571428571428575,-0.04761904761904763,,0.023809523809523815,,0.023809523809523815,-0.07142857142857144
2022-11-01,8,-0.11904761904761905,-0.4761904761904762,-0.04761904761904763,-0.023809523809523815,-0.0,-0.14285714285714288,0.0,,0.07142857142857144,,-0.0,0.0
2023-02-01,8,-0.2142857142857143,-0.4761904761904762,-0.04761904761904763,-0.0,0.04761904761904763,-0.0,0.023809523809523815,0.2380952380952381,0.07142857142857144,-0.09523809523809526,-0.0,0.04761904761904763
2023-05-01,8,0.023809523809523815,-0.5000000000000001,0.1666666666666667,0.023809523809523815,-0.14285714285714288,-0.2380952380952381,-0.1666666666666667,0.14285714285714288,-0.07142857142857144,0.6190476190476191,-0.2142857142857143,-0.14285714285714288
2023-08-01,8,0.04761904761904763,-0.14285714285714288,0.09523809523809526,-0.0,0.09523809523809526,0.023809523809523815,0.11904761904761905,0.4285714285714286,0.14285714285714288,0.6190476190476191,-0.07142857142857144,0.09523809523809526
2023-11-01,8,0.19047619047619052,0.11904761904761905,0.2142857142857143,0.28571428571428575,0.261904761904762,-0.023809523809523815,0.3571428571428572,0.4047619047619048,0.5714285714285715,0.7857142857142858,-0.0,0.261904761904762
2024-02-01,9,0.14285714285714288,0.28571428571428575,0.2142857142857143,-0.09523809523809526,0.6190476190476191,0.08333333333333334,0.3333333333333334,0.4285714285714286,0.06666666666666667,0.48333333333333334,-0.38333333333333336,0.6190476190476191
2024-05-01,10,0.3333333333333334,0.3571428571428572,0.523809523809524,-0.3571428571428572,0.6428571428571429,0.34545454545454546,0.4523809523809524,0.523809523809524,0.3939393939393939,0.07878787878787878,0.006060606060606061,0.6428571428571429
2024-08-01,12,0.38095238095238104,0.30952380952380953,0.5476190476190477,-0.3571428571428572,0.5151515151515151,0.055944055944055944,0.32121212121212117,0.38095238095238104,0.5174825174825175,-0.04895104895104895,-0.1188811188811189,0.5151515151515151
