mfId,name,rank,score,data_days,cagr_3y,cagr_5y,eq_weight,debt_weight,gold_weight,silver_weight,diversification,n_active_sleeves,alloc_adaptability,strategic_alpha,tactical_alpha,sortino_3y,cdar_5pct,calmar_3y,pain_index,dd_now,sip_1y_p50,sip_consistency,p1_alloc_profile,p2_alloc_adaptability,p3_alloc_skill,p4_downside,p5_sip_history,aum
M_DSPUI,DSP Multi Asset Allocation Fund,1,76.76,1079,,,0.174,0.659,0.109,0.058,0.520,4,0.047,-13.78,2.54,1.249,-5.11,2.355,-0.82,-2.70,19.33,1.000,41.18,79.17,75.0,94.12,95.83,10592.4
M_NIPU,Nippon India Multi Asset Allocation Fund,2,74.46,1828,18.65,15.83,0.223,0.594,0.124,0.059,0.579,4,-0.032,-8.60,1.59,1.096,-7.25,2.107,-1.53,-2.43,19.70,1.000,64.71,33.33,91.67,79.41,91.67,17983.94
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,3,70.77,911,,,0.214,0.639,0.080,0.068,0.535,4,0.036,-14.25,2.95,0.990,-5.97,1.925,-1.14,-1.95,15.24,1.000,44.12,70.83,87.5,85.29,54.17,1234.81
M_SBTO,SBI Multi Asset Allocation Fund,4,68.82,1828,14.87,13.61,0.193,0.676,0.049,0.082,0.497,3,0.075,-9.39,0.84,0.992,-5.77,1.968,-1.23,-1.18,16.59,1.000,17.65,89.58,79.17,88.24,66.67,20935.04
M_UNUN,Union Multi Asset Allocation Fund,5,66.88,729,,,0.264,0.537,0.119,0.080,0.622,4,0.000,3.95,-0.39,0.438,-7.93,1.008,-1.89,-2.13,15.17,1.000,88.24,54.17,100.0,29.41,58.33,1020.13
M_ICPPP,ICICI Pru Multi Asset Allocation Fund,6,64.29,1828,13.94,16.05,0.282,0.594,0.081,0.043,0.559,3,0.041,-9.73,0.78,0.925,-6.35,1.546,-1.27,-2.82,19.97,0.865,26.47,75.0,70.83,67.65,87.5,87833.1
M_UTIMA,UTI Multi Asset Allocation Fund,7,62.88,1828,14.97,13.24,0.286,0.543,0.119,0.052,0.606,4,0.048,-9.91,0.36,0.814,-8.58,1.458,-1.79,-3.11,20.22,0.838,76.47,83.33,54.17,41.18,75.0,7062.53
M_KOTUU,Kotak Multi Asset Allocation Fund,8,61.91,1086,,,0.192,0.610,0.020,0.179,0.559,3,0.118,-10.99,1.05,1.000,-9.76,1.638,-1.88,-2.39,16.94,1.000,23.53,100.0,62.5,58.82,79.17,15282.85
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,9,61.57,1317,15.82,,0.273,0.541,0.096,0.090,0.615,4,0.023,-11.04,-0.04,0.836,-7.83,1.441,-1.38,-2.55,16.74,0.950,85.29,62.5,33.33,64.71,70.83,7618.21
M_QUNS,Quant Multi Asset Allocation Fund,10,56.25,1828,22.02,19.94,0.219,0.657,0.062,0.062,0.513,4,-0.027,-9.23,0.06,1.209,-11.11,1.779,-2.39,-2.55,22.85,1.000,35.29,41.67,50.0,61.76,100.0,6527.78
M_TATI,Tata Multi Asset Allocation Fund,11,53.37,1828,13.01,12.70,0.251,0.620,0.071,0.058,0.544,4,0.030,-10.99,0.95,0.675,-7.75,1.339,-1.65,-2.19,14.69,0.892,47.06,66.67,58.33,50.0,45.83,5241.6
M_EDMU,Edelweiss Multi Asset Allocation Fund,12,52.05,1177,7.58,,0.046,0.954,0.000,0.000,0.087,1,-0.133,-0.01,-0.03,0.859,-0.40,7.392,-0.03,0.00,7.85,0.000,2.94,4.17,95.83,100.0,12.5,2942.66
M_LIEG,LIC MF Multi Asset Allocation Fund,13,51.62,568,,,0.295,0.468,0.177,0.061,0.659,4,,,,0.745,-9.02,1.270,-1.61,-1.63,,,100.0,50.0,50.0,52.94,50.0,1004.98
M_INVIP,Invesco India Multi Asset Allocation Fund,14,51.0,631,,,0.212,0.585,0.131,0.072,0.590,4,,,,0.864,-6.21,1.772,-0.90,-2.69,,,70.59,50.0,50.0,73.53,50.0,1233.72
M_AXPU,Axis Multi Asset Allocation Fund,15,49.11,1828,13.59,9.36,0.247,0.557,0.114,0.082,0.609,4,-0.048,-9.66,1.00,0.673,-13.68,1.313,-3.85,-2.48,14.85,0.811,82.35,20.83,83.33,14.71,33.33,2611.13
M_WOMT,WOC Multi Asset Allocation Fund,16,48.91,1212,16.71,,0.153,0.697,0.150,0.000,0.468,3,-0.055,-13.00,0.76,1.639,-3.07,2.747,-0.39,-1.19,17.82,1.000,11.76,16.67,29.17,97.06,83.33,8777.56
M_360P,360 ONE Multi Asset Allocation Fund,17,48.25,386,,,0.137,0.565,0.252,0.046,0.597,3,,,,1.363,-6.80,2.646,-1.36,-2.27,,,32.35,50.0,50.0,91.18,50.0,510.54
M_BAJAO,Bajaj Finserv Multi Asset Allocation Fund,18,47.26,834,,,0.291,0.510,0.089,0.110,0.635,4,0.075,-10.46,-0.30,0.375,-9.17,0.944,-2.66,-3.32,10.89,1.000,97.06,89.58,25.0,17.65,25.0,1943.33
M_MIUD,Mirae Asset Multi Asset Allocation Fund,19,46.54,953,,,0.232,0.607,0.106,0.055,0.564,4,-0.031,-16.05,0.58,0.812,-5.84,1.639,-1.10,-1.79,13.61,1.000,55.88,37.5,12.5,76.47,50.0,3690.64
M_BABL,Baroda BNP Paribas Multi Asset Fund,20,46.26,1366,14.24,,0.267,0.528,0.180,0.025,0.617,3,0.007,-9.16,0.50,0.697,-9.54,1.278,-1.66,-3.21,14.02,0.818,38.24,58.33,66.67,35.29,29.17,1486.46
M_BANHP,Bandhan Multi Asset Allocation Fund,21,44.94,953,,,0.245,0.612,0.053,0.090,0.554,4,-0.046,-15.46,0.80,0.916,-7.49,1.858,-1.43,-2.19,15.65,1.000,50.0,25.0,16.67,70.59,62.5,3744.87
M_FRANS,Franklin India Multi Asset Allocation Fund,22,44.5,407,,,0.281,0.523,0.117,0.078,0.627,4,,,,0.366,-9.22,0.932,-1.82,-2.90,,,91.18,50.0,50.0,26.47,50.0,2912.44
M_PGTS,PGIM India Multi Asset Allocation Fund,23,43.75,281,,,0.278,0.519,0.074,0.129,0.631,4,,,,0.206,-8.49,0.882,-1.97,-2.66,,,94.12,50.0,50.0,20.59,50.0,306.51
M_THWY,The Wealth Company Multi Asset Allocation Fund,24,43.25,274,,,0.228,0.595,0.066,0.111,0.577,4,,,,0.476,-7.61,1.441,-1.09,-1.77,,,61.76,50.0,50.0,44.12,50.0,208.44
M_CAUS,Canara Rob Multi Asset Allocation Fund,25,43.0,463,,,0.263,0.574,0.101,0.063,0.588,4,,,,0.527,-7.76,1.149,-1.26,-2.13,,,67.65,50.0,50.0,38.24,50.0,1411.53
M_SACM,Samco Multi Asset Allocation Fund,26,42.38,617,,,0.020,0.796,0.166,0.017,0.339,2,,,,0.913,-6.10,1.880,-1.29,-1.18,,,8.82,50.0,50.0,82.35,50.0,400.2
M_HSAO,HSBC Multi Asset Allocation Fund,27,40.54,925,,,0.190,0.613,0.118,0.079,0.568,4,0.083,-14.53,0.72,0.575,-16.91,0.833,-3.40,-1.57,14.04,0.857,58.82,95.83,20.83,11.76,41.67,3259.66
M_HDCUU,HDFC Multi Asset Allocation Fund,28,40.47,1828,11.45,11.02,0.228,0.633,0.110,0.029,0.535,3,-0.000,-11.08,0.69,0.633,-6.27,1.338,-1.45,-3.24,15.42,0.838,20.59,50.0,45.83,47.06,37.5,6031.26
M_GRMO,Groww Multi Asset Allocation Fund,29,38.12,344,,,0.270,0.551,0.087,0.092,0.607,4,,,,-0.245,-8.85,0.307,-2.11,-2.46,,,79.41,50.0,50.0,5.88,50.0,389.91
M_SUDUO,Sundaram Multi Asset Allocation Fund,30,33.47,960,,,0.301,0.451,0.214,0.034,0.659,3,-0.123,-13.33,1.30,0.616,-8.37,1.087,-1.93,-3.04,12.35,0.778,52.94,8.33,41.67,32.35,20.83,3406.52
M_SHRS,Shriram Multi Asset Allocation Fund,31,31.29,1100,11.14,,0.257,0.567,0.110,0.066,0.596,4,-0.044,-13.98,1.31,0.421,-13.57,0.742,-3.65,-2.81,6.57,0.000,73.53,29.17,37.5,8.82,4.17,145.88
M_BANKD,Bank of India Multi Asset Allocation Fund,32,28.37,925,,,0.153,0.696,0.108,0.042,0.478,3,-0.017,-18.31,0.25,0.527,-7.28,1.269,-1.26,-1.09,10.73,0.857,14.71,45.83,8.33,55.88,16.67,379.31
M_QUUC,Quantum Multi Asset Allocation Fund,33,15.93,918,,,0.221,0.610,0.135,0.034,0.560,3,-0.082,-17.60,-0.87,0.226,-6.60,0.897,-1.49,-4.54,6.96,0.143,29.41,12.5,4.17,23.53,8.33,59.27
M_JMTS,JM Multi Asset Allocation Fund,34,0.0,57,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,159.25
M_ALPR,AlphaGrep Multi Asset Allocation Fund,34,0.0,50,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,75.51
M_CAPS,Capitalmind Multi Asset Allocation Fund,34,0.0,176,,,0.041,0.864,0.019,0.076,0.245,2,,,,,,,,-3.53,,,0.0,0.0,0.0,0.0,0.0,39.33
M_ZERE,Zerodha Life Cycle Fund 2036,34,0.0,64,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,19.57
M_ZERL,Zerodha Life Cycle Fund 2041,34,0.0,64,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,18.08
