mfId,name,sector,subsector,aum,first_nav_date,top5,top10,top20,returns_as_of,1y,3y,5y
M_PARO,Parag Parikh Flexi Cap Fund,Equity,Flexi Cap Fund,134253.1711,2013-05-27,29.93,49.75,75.13,2025-12-31,8.79,86.74,156.82
M_HDCBA,HDFC Balanced Advantage Fund,Hybrid,Balanced Advantage Fund,107589.6743,2012-12-31,19.76,31.66,46.24,2025-12-31,8.53,68.69,154.99
M_HDCEQ,HDFC Flexi Cap Fund,Equity,Flexi Cap Fund,100455.3195,2012-12-31,37.22,53.99,76.0,2025-12-31,12.76,84.96,199.94
M_HDCMS,HDFC Mid Cap Fund,Equity,Mid Cap Fund,94256.8954,2012-12-31,23.13,38.09,59.61,2025-12-31,9.07,104.08,221.54
M_ICPPP,ICICI Pru Multi-Asset Fund,Hybrid,Multi Asset Allocation Fund,83044.7801141501,2012-12-31,22.35,33.84,49.55,2025-12-31,19.44,75.54,178.76
M_SBQB,SBI Equity Hybrid Fund,Hybrid,Aggressive Hybrid Fund,81241.5903,2012-12-31,26.7,41.81,65.99,2025-12-31,13.5,53.6,96.26
M_ICCBH,ICICI Pru Large Cap Fund,Equity,Large Cap Fund,77451.5855484318,2012-12-31,35.73,55.26,73.93,2025-12-31,12.34,70.25,137.43
M_KOQU,Kotak Arbitrage Fund,Hybrid,Arbitrage Fund,71264.8627,2012-12-31,34.06,44.19,56.73,2025-12-31,7.18,25.47,38.01
M_ICCVB,ICICI Pru Balanced Advantage Fund,Hybrid,Balanced Advantage Fund,71150.7502714625,2012-12-31,22.15,34.95,50.04,2025-12-31,13.36,50.65,89.43
M_HDCLI,HDFC Liquid Fund,Debt,Liquid Fund,67849.8575,2012-12-31,15.05,27.57,45.11,2025-12-31,6.74,22.62,32.85
M_NIMS,Nippon India Small Cap Fund,Equity,Small Cap Fund,67641.5014,2012-12-31,10.18,16.41,25.99,2025-12-31,-3.36,84.36,245.18
M_SBQA,SBI Liquid Fund,Debt,Liquid Fund,66119.33480000001,2012-12-31,20.19,33.06,49.74,2025-12-31,6.68,22.54,32.83
M_KORY,Kotak Midcap Fund,Equity,Mid Cap Fund,61694.4013,2012-12-31,18.1,29.82,49.19,2025-12-31,3.99,86.52,193.25
M_ICCYV,ICICI Pru Value Fund,Equity,Value Fund,60571.3367205306,2012-12-31,34.64,54.55,75.16,2025-12-31,14.39,83.15,191.96
M_KOSN,Kotak Flexicap Fund,Equity,Flexi Cap Fund,56853.22900000001,2012-12-31,26.83,43.47,65.63,2025-12-31,10.95,64.28,119.47
M_SBLH,SBI Large Cap Fund,Equity,Large Cap Fund,54821.3256,2012-12-31,30.81,48.98,73.2,2025-12-31,10.94,56.17,107.66
M_ICPIQ,ICICI Pru Liquid Fund,Debt,Liquid Fund,53738.394528216304,2012-12-31,28.2,39.13,52.88,2025-12-31,6.72,22.69,32.95
M_ADTUF,Aditya Birla SL Liquid Fund,Debt,Liquid Fund,51838.157,2012-12-31,23.13,34.84,50.25,2025-12-31,6.8,22.94,33.37
M_NIGE,Nippon India Large Cap Fund,Equity,Large Cap Fund,51403.7963,2012-12-31,29.59,44.76,65.35,2025-12-31,10.34,76.27,162.69
M_NIML,Nippon India Multi Cap Fund,Equity,Multi Cap Fund,50820.0115,2012-12-31,19.49,30.37,45.76,2025-12-31,5.52,86.46,218.37
M_ICCYG,ICICI Pru Equity & Debt Fund,Hybrid,Aggressive Hybrid Fund,50205.348128531296,2012-12-31,24.35,37.99,54.09,2025-12-31,14.5,74.88,178.76
M_SBICO,SBI Contra Fund,Equity,Contra Fund,49111.49679999999,2012-12-31,29.47,42.04,58.07,2025-12-31,7.69,80.32,207.96
M_SBIAB,SBI Arbitrage Opportunities Fund,Hybrid,Arbitrage Fund,44393.1509,2013-01-07,26.73,35.52,48.09,2025-12-31,7.17,25.01,37.28
M_NIGW,Nippon India Growth Mid Cap Fund,Equity,Mid Cap Fund,43982.5075,2012-12-31,13.81,24.46,40.82,2025-12-31,6.61,103.33,216.58
M_AXLF,Axis Liquid Fund,Debt,Liquid Fund,43636.3013,2012-12-31,17.92,29.84,46.74,2025-12-31,6.8,22.85,33.25
M_SBFQ,SBI Focused Fund,Equity,Focused Fund,43310.5439,2012-12-31,38.06,59.21,87.37,2025-12-31,16.86,70.94,127.48
M_MISM,Mirae Asset Large & Midcap Fund,Equity,Large & Mid Cap Fund,42943.1028,2012-12-31,20.81,32.27,50.17,2025-12-31,10.3,69.0,134.81
