mfId,name,aum,beta,beta_up,beta_down,median_24m_ret,min_24m_ret
M_NIMS,Nippon India Small Cap Fund,77864.9182999999,0.21247267171857245,0.24052034753497398,0.18449538296537632,0.2859254048379908,-0.10316350730080315
M_HDFSU,HDFC Small Cap Fund,41890.8613,0.20856524374638502,0.23461043604404164,0.19209294732497423,0.24810450611574772,-0.08868528473228025
M_SBILM,SBI Small Cap Fund,39954.7274,0.17490903416763717,0.18464568248675559,0.15739712954788412,0.22330110467587003,-0.12494111437758526
M_QUNF,Quant Small Cap Fund,35557.207599999994,0.2373414033292058,0.2566157021184626,0.21176323047857704,0.2554054572799408,-0.13166090058208707
M_IDFM,Bandhan Small Cap Fund,34176.024300000005,0.2091165016043802,0.24428540592644887,0.16904612584918594,0.45376119373806495,-0.03496042149206338
M_AXMC,Axis Small Cap Fund,30088.594103,0.1658872578460263,0.19030368887516141,0.14132821228531173,0.29749042692159294,-0.0551495274977295
M_DSPSM,DSP Small Cap Fund,21658.6368,0.20578834115122369,0.21049539372949652,0.18677224780390428,0.307891600753663,-0.038230563590115556
M_KOSM,Kotak Small Cap Fund,19678.7537,0.17579510695401482,0.18476956411695966,0.15424034682878057,0.2524268001073821,-0.14049425913329833
M_LTES,HSBC Small Cap Fund,19076.353,0.21493089526235562,0.25373444592698385,0.18765530910126854,0.24734599527033788,-0.15241062764469476
M_INEP,Invesco India Smallcap Fund,15744.4025,0.2026763514624272,0.22331467845998368,0.18992136734217965,0.345204059761556,-0.03347925137111421
M_CANM,Canara Rob Small Cap Fund,14661.138500000001,0.20222190300554274,0.23202204015335487,0.16692864644693756,0.2579949917343717,-0.09988130734601691
M_FRSM,Franklin India Small Cap Fund,14466.517561786999,0.19848948821970497,0.23015246437173692,0.1668843450102414,0.25989672800625097,-0.1402970803886724
M_TASC,Tata Small Cap Fund,13093.883750155901,0.19692554962068914,0.22687351344186849,0.15114694395590053,0.29955357257593507,-0.21040430578860908
M_ICCDS,ICICI Pru Small Cap Fund,9820.60947951631,0.18347265977241395,0.21018240398956906,0.13720416447486902,0.2277668793907287,-0.10315811769671382
M_MOON,Motilal Oswal Small Cap Fund,8150.1975,0.1948153652345188,0.23476224202245177,0.17676640790517908,0.15906043734694214,-0.030485463277776036
M_EDEC,Edelweiss Small Cap Fund,7252.911899999999,0.1947624959948011,0.21004536372493451,0.17818526698738074,0.3016551925480353,-0.06780646904879208
M_ADICM,Aditya Birla SL Small Cap Fund,6226.4747,0.20794547416275336,0.23948087592863354,0.19382085472123062,0.24446607004115306,-0.07293622762998984
M_MAAI,Mahindra Manulife Small Cap Fund,5467.656,0.21463439849575894,0.27048696965428226,0.16836582033970526,0.1607325213497173,-0.07538830647430192
M_UTSSA,UTI Small Cap Fund,5447.6468,0.20038276623789247,0.2306935090932323,0.17841688823844448,0.2787512200425129,-0.08370408379914579
M_SUNSP,Sundaram Small Cap Fund,4155.35217207519,0.19263989855489574,0.2107567388944305,0.1764437078859124,0.26420180611356103,-0.061218986950195814
M_ITIM,ITI Small Cap Fund,3602.8475,0.22013590574486946,0.2510857212960047,0.19099698546386978,0.37147910339269735,-0.060303404826301324
M_BOIL,Bank of India Small Cap Fund,2793.0123,0.21878565630401037,0.26836835623166033,0.1919791578107125,0.31174069280633965,-0.09146393707528311
M_UNSL,Union Small Cap Fund,2667.4728000000005,0.2052566169904964,0.23172158141288193,0.18486760253782544,0.31544459448928486,-0.01573790349347064
M_PGSE,PGIM India Small Cap Fund,1793.7925,0.19462766824918284,0.20623895720316457,0.1938018595333672,0.23318480083698115,-0.04232482772251205
M_BARDN,Baroda BNP Paribas Small Cap Fund,1287.555,0.19116197282688274,0.24181582707970536,0.16237803705602777,0.042712053839160796,-0.08976515665701754
M_JMPT,JM Small Cap Fund,929.4965058810001,0.21388587008117427,0.314504333165242,0.1744319280449327,0.15901439550632865,0.08088745064141101
M_IDIS,LIC MF Small Cap Fund,831.5518,0.22178669643141224,0.2816074611303963,0.1789051452501025,0.274307014762162,-0.1378328577794309
M_QUUS,Quantum Small Cap Fund,265.27209999999997,0.16568708627696155,0.19648549137218746,0.15499420335071293,0.11424541618544223,-0.04480036419511089
