mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,style_purity,style_drift,swing_elasticity,upside_capture,capture_spread
M_EDME,Edelweiss Mid Cap Fund,1,85.31,4970,24.0,20.81,140.0,24.03,9.72,23.27,-13.8,0.6767,4.7,0.9563,0.0268,0.0879,0.707,0.6754,0.8861,0.9813,0.8709,0.1583,-0.003,1.0964,0.14
M_WOCD,WOC Mid Cap Fund,2,83.11,1435,24.52,,23.0,22.7,14.56,16.95,-13.32,0.8169,7.47,0.782,0.1001,0.0499,1.0653,1.3286,0.561,0.9932,0.7342,0.0904,-0.0028,1.0048,0.2228
M_MIAI,Mirae Asset Midcap Fund,3,80.17,2569,18.99,17.63,61.0,25.76,12.84,23.28,-12.06,0.2855,3.65,0.9299,-0.0314,0.0758,0.662,0.5525,0.7722,0.9797,0.7415,0.1139,-0.0039,0.9267,-0.0032
M_INMI,Invesco India Midcap Fund,4,79.85,4970,26.33,22.01,140.0,23.14,10.91,22.19,-13.43,0.5649,5.01,0.9564,0.0421,0.0719,0.7082,0.844,0.8861,0.9853,0.5577,0.2106,-0.0043,1.0656,0.1092
M_MANC,Mahindra Manulife Mid Cap Fund,5,77.14,3115,22.62,20.66,79.0,24.55,9.38,25.51,-13.74,0.3247,5.27,0.8946,-0.0452,0.0732,0.588,0.7735,0.8144,0.9948,0.626,0.106,-0.0049,0.8386,-0.056
M_KORY,Kotak Midcap Fund,6,75.45,4970,20.12,18.7,140.0,23.63,10.72,22.79,-13.04,0.4909,4.31,0.9638,0.0598,0.085,0.6336,0.5704,0.8861,0.9417,0.6063,0.1004,-0.0056,1.0081,0.0443
M_HDCMS,HDFC Mid Cap Fund,7,75.1,4970,20.51,21.58,140.0,22.46,11.27,21.54,-12.88,0.5516,3.78,0.9361,0.0487,0.0796,0.7086,0.5455,0.8861,0.9264,0.768,0.1001,-0.0046,0.8414,-0.0947
M_ITMA,ITI Mid Cap Fund,8,74.32,1988,23.55,18.49,41.0,24.11,9.69,25.64,-11.52,0.0691,2.43,0.921,-0.0194,0.0728,0.7432,1.054,0.6949,0.9985,0.7087,0.1525,-0.0037,0.9136,-0.0073
M_UNIA,Union Midcap Fund,9,74.09,2331,19.71,17.75,53.0,21.25,11.39,17.78,-12.56,0.0867,4.98,0.8879,0.0033,0.056,1.3327,0.9547,0.7465,0.9981,0.7239,0.1907,-0.0046,0.9066,0.0187
M_ICPID,ICICI Pru Midcap Fund,10,73.94,4970,24.58,19.61,140.0,21.35,7.87,20.51,-13.99,0.3657,1.84,0.9703,-0.0022,0.0973,0.6531,0.58,0.8861,0.992,0.9506,0.1567,-0.0024,0.9841,0.0138
M_TAMW,Tata Mid Cap Fund,11,71.52,4970,17.73,17.04,140.0,21.29,7.87,20.55,-14.11,0.2989,3.15,0.9669,0.005,0.0823,0.617,0.5494,0.8861,0.9939,0.8369,0.1117,-0.0038,0.9292,-0.0377
M_BNMP,Baroda BNP Paribas Mid Cap Fund,12,69.36,4970,19.89,17.34,140.0,20.96,8.71,20.49,-13.41,0.2416,4.0,0.943,0.0043,0.0903,0.67,0.5989,0.8861,0.9974,0.8185,0.1246,-0.0048,0.7681,-0.1749
M_MOTG,Motilal Oswal Large & Midcap Fund,13,67.83,2492,24.46,20.29,58.0,26.11,14.98,23.33,-13.68,0.0874,4.36,0.933,-0.0609,0.0889,0.5941,0.7113,0.7632,0.9816,0.3288,0.3042,-0.0048,0.8833,-0.0497
M_LTIU,HSBC Midcap Fund,14,66.96,4970,26.46,20.42,140.0,21.88,9.33,21.22,-13.79,0.4256,2.16,0.9467,0.0224,0.0926,0.6804,0.7064,0.8861,0.9844,0.6689,0.3056,-0.0049,0.9049,-0.0418
M_MISM,Mirae Asset Large & Midcap Fund,15,65.53,4970,14.91,12.91,140.0,22.64,10.28,21.36,-12.96,0.4347,2.8,0.9191,0.065,0.0668,0.7491,0.4541,0.8861,0.9547,0.3249,0.0681,-0.0066,0.7776,-0.1414
M_NIGW,Nippon India Growth Mid Cap Fund,16,64.67,4970,22.07,20.67,140.0,21.24,7.85,20.75,-13.91,0.1958,3.92,0.9625,-0.0118,0.0851,0.5706,0.6247,0.8861,0.9497,0.8216,0.1342,-0.0034,0.8134,-0.1492
M_AXMI,Axis Midcap Fund,17,61.61,4970,18.8,15.1,140.0,20.75,9.22,19.66,-12.77,0.1197,4.47,0.9269,0.0498,0.0732,0.6841,0.7331,0.8861,0.9656,0.7741,0.1225,-0.0078,0.6576,-0.2693
M_JMDL,JM Midcap Fund,18,60.52,1358,21.8,,21.0,16.64,6.36,8.08,-16.42,0.7084,5.52,0.9005,-0.0976,0.0656,1.0706,1.0092,0.5385,0.9987,0.4855,0.2224,-0.0002,1.1313,0.2309
M_SUNIU,Sundaram Mid Cap Fund,19,60.39,4970,22.15,19.42,140.0,20.37,8.7,19.57,-14.29,0.1589,1.14,0.969,-0.012,0.104,0.5686,0.5356,0.8861,0.986,0.7764,0.1252,-0.003,0.8391,-0.1299
M_HSLA,HSBC Large & Mid Cap Fund,20,59.28,2695,20.32,16.66,65.0,22.2,11.77,23.09,-12.19,-0.2165,2.06,0.9189,0.0044,0.0846,0.4904,0.6131,0.7831,0.9945,0.7231,0.3263,-0.0056,0.7189,-0.1999
M_UTIMP,UTI Mid Cap Fund,21,59.1,4970,14.93,14.51,140.0,20.29,6.48,18.89,-14.43,0.1473,1.19,0.9773,0.0338,0.1002,0.6076,0.3966,0.8861,0.9876,0.8307,0.1057,-0.0042,0.9153,-0.0619
M_AXGG,Axis Large & Mid Cap Fund,22,58.56,2849,18.16,14.23,70.0,22.5,10.97,22.63,-11.83,-0.0694,5.65,0.7736,-0.0666,0.0652,0.6282,0.6543,0.7955,0.9832,0.4579,0.2141,-0.0108,0.5633,-0.2104
M_IDCCL,Bandhan Midcap Fund,23,57.75,1456,20.49,,24.0,19.21,8.81,13.77,-15.14,0.1712,2.65,0.8233,-0.006,0.0598,0.7272,0.9245,0.5714,0.9976,0.6819,0.2204,-0.0037,0.8701,0.0468
M_CAMR,Canara Rob Mid Cap Fund,24,57.1,1351,19.55,,21.0,15.88,9.78,9.9,-15.6,0.1007,3.57,0.7252,-0.0017,0.0571,0.8833,0.926,0.5385,0.995,0.7021,0.1099,-0.0032,0.7798,0.0547
M_MOLS,Motilal Oswal Midcap Fund,25,55.58,4550,22.6,24.07,126.0,20.15,7.32,19.26,-15.3,0.2314,5.45,0.9166,0.0337,0.0973,0.6678,0.6079,0.875,0.9625,0.595,0.2926,-0.0042,0.7829,-0.1336
M_DSPMU,DSP Midcap Fund,26,53.25,4970,17.06,13.77,140.0,19.56,7.62,18.54,-13.89,-0.0238,0.91,0.9748,0.0279,0.0857,0.5652,0.55,0.8861,0.9798,0.7665,0.0667,-0.0042,0.7776,-0.1972
M_WOLR,WOC Large & Mid Cap Fund,27,52.57,966,15.77,,8.0,8.17,6.87,10.33,-9.81,0.2586,6.29,0.6938,-0.0009,0.0487,0.534,0.9871,0.3077,0.9976,0.5045,0.0583,-0.007,0.799,0.1051
M_CAOP,Canara Rob Large and Mid Cap Fund,28,51.89,4970,15.08,12.81,140.0,21.78,7.9,20.21,-13.96,0.2471,1.57,0.9513,0.0309,0.0762,0.6582,0.466,0.8861,0.9739,0.3499,0.1949,-0.0048,0.8101,-0.1412
M_SBIAU,SBI Midcap Fund,29,50.94,4970,14.07,15.9,140.0,20.68,6.3,19.51,-13.62,0.1097,2.38,0.9529,0.0205,0.1022,0.5453,0.3423,0.8861,0.9756,0.7306,0.1504,-0.0061,0.741,-0.2119
M_QUNL,Quant Large & Mid Cap Fund,30,47.0,4963,17.62,18.4,139.0,20.86,6.44,19.66,-12.57,0.0244,3.67,0.9129,-0.0079,0.0811,0.7113,0.6606,0.8854,0.9966,0.5055,0.1873,-0.0076,0.5641,-0.3488
M_BARD,Baroda BNP Paribas Large & Mid Cap Fund,31,46.46,2170,16.68,15.27,48.0,17.96,8.32,16.25,-12.14,-0.502,2.2,0.9394,-0.1261,0.0623,0.862,0.8544,0.7273,0.9982,0.5653,0.1172,-0.0068,0.7542,-0.1851
M_MAHT,Mahindra Manulife Large & Mid Cap Fund,32,45.31,2415,15.14,15.23,56.0,20.25,8.43,16.55,-12.04,-0.4728,2.59,0.9153,-0.1297,0.0709,0.606,0.5202,0.7568,0.9972,0.5594,0.1359,-0.0065,0.6898,-0.2256
M_FRRN,Franklin India Mid Cap Fund,33,44.45,4970,19.06,16.25,140.0,20.19,5.21,19.39,-13.26,0.13,0.4,0.9437,0.0237,0.0763,0.6205,0.549,0.8861,0.9871,0.4754,0.1235,-0.0054,0.6907,-0.2529
M_HEIP,Helios Mid Cap Fund,34,44.15,511,,,0.0,,,,,,11.13,,0.3857,0.0435,,,0.0,0.998,0.5423,0.1085,-0.0017,,
M_PGPL,PGIM India Large and Mid Cap Fund,35,44.03,910,12.14,,6.0,4.32,3.51,3.96,-12.71,0.0086,5.21,0.6886,-0.0942,0.0532,0.3574,0.7991,0.25,0.9992,0.3486,0.1157,-0.0081,0.7138,0.0253
M_HEIR,Helios Large & Mid Cap Fund,36,43.92,644,,,0.0,,,,,0.2461,5.21,0.8422,-0.1162,0.0638,0.156,,0.0,0.9986,0.5888,0.0495,-0.0045,0.8813,0.0391
M_BAJAL,Bajaj Finserv Large and Mid Cap Fund,37,42.53,896,11.29,,6.0,3.34,2.56,4.63,-11.8,-0.0565,4.92,0.742,-0.1934,0.059,0.2961,0.6972,0.25,0.9976,0.3413,0.1256,-0.01,0.7447,0.0027
M_JMND,JM Large & Mid Cap Fund,38,42.42,378,,,0.0,,,,,,4.43,,-0.2371,0.0449,,,0.0,0.9996,0.3557,,-0.0016,,
M_BANOU,Bank of India Mid Cap Fund,39,40.64,350,,,0.0,,,,,,-3.81,,0.0488,0.0413,,,0.0,0.9993,,,-0.0051,,
M_ADTMI,Aditya Birla SL Midcap Fund,40,40.5,4970,18.76,16.35,140.0,19.01,6.48,18.5,-14.65,-0.1262,0.24,0.989,-0.0334,0.1114,0.5019,0.4271,0.8861,0.9933,0.533,0.0946,-0.0039,0.8331,-0.1559
M_ITAM,ITI Large & Mid Cap Fund,41,40.45,700,,,0.0,,,,,-0.3575,0.96,0.9252,0.0736,0.08,-0.1229,,0.0,0.9993,0.3365,0.1546,0.0013,0.8193,-0.1059
M_INCW,Invesco India Large & Mid Cap Fund,42,40.44,4970,25.24,19.24,140.0,18.97,8.66,18.48,-12.68,0.033,3.88,0.879,0.0543,0.0642,0.6292,0.801,0.8861,0.9883,0.3947,0.227,-0.0088,0.4665,-0.4125
M_PGDO,PGIM India Midcap Fund,43,39.57,4634,13.99,12.94,128.0,18.06,5.75,17.77,-14.94,-0.244,4.42,0.9514,-0.0044,0.0871,0.5743,0.4345,0.8767,0.9889,0.7133,0.1825,-0.0048,0.6064,-0.3449
M_SACI,Samco Large & Mid Cap Fund,44,39.51,406,,,0.0,,,,,,-12.36,,-0.7593,0.0807,,,0.0,0.9999,0.7254,,-0.0138,,
M_SBRU,SBI Large & Midcap Fund,45,36.77,4970,15.59,15.65,140.0,18.12,9.18,17.52,-12.3,-0.1375,2.95,0.9057,-0.0151,0.0651,0.5607,0.4444,0.8861,0.9577,0.4106,0.1173,-0.0083,0.4512,-0.4544
M_EDAA,Edelweiss Large & Mid Cap Fund,46,35.09,4970,16.96,15.26,140.0,17.63,7.12,17.18,-12.56,-0.2163,3.07,0.8957,-0.0299,0.0636,0.5874,0.5494,0.8861,0.9952,0.4639,0.0879,-0.008,0.3998,-0.4959
M_IDFOC,Bandhan Large & Mid Cap Fund,47,34.77,4970,20.32,18.54,140.0,18.11,7.55,18.06,-12.9,-0.2379,2.9,0.9112,-0.0485,0.0719,0.5111,0.5589,0.8861,0.9812,0.4918,0.1008,-0.0072,0.4145,-0.4967
M_UNOO,Union Large & Midcap Fund,48,34.18,2443,15.2,14.1,56.0,17.87,9.57,14.72,-12.02,-0.5692,1.55,0.9339,-0.0514,0.0721,0.4891,0.4737,0.7568,0.999,0.459,0.1739,-0.0077,0.6678,-0.2661
M_KOEO,Kotak Large & Midcap Fund,49,33.75,4970,16.37,15.53,140.0,18.55,8.65,18.08,-12.21,-0.1425,3.34,0.892,0.0386,0.0623,0.5745,0.4962,0.8861,0.9679,0.2352,0.1336,-0.0085,0.4182,-0.4738
M_DSIY,DSP Large & Mid Cap Fund,50,32.38,4970,16.14,13.97,140.0,18.27,7.29,17.75,-12.97,-0.202,2.23,0.9164,0.0064,0.0682,0.559,0.4721,0.8861,0.9818,0.3155,0.0906,-0.0069,0.451,-0.4654
M_TACV,Taurus Mid Cap Fund,51,32.3,4970,12.23,14.0,140.0,18.58,6.22,17.67,-14.56,-0.1866,-0.79,0.98,0.0129,0.089,0.5263,0.4285,0.8861,0.9999,0.3473,0.1472,-0.0023,0.7188,-0.2611
M_QUTD,Quant Mid Cap Fund,52,32.24,4963,14.13,18.15,139.0,19.41,4.27,19.13,-12.25,-0.1188,4.96,0.8358,0.0312,0.0756,0.6411,0.4925,0.8854,0.9919,0.5218,0.231,-0.0121,0.3232,-0.5126
M_SUNLA,Sundaram Large and Mid Cap Fund,53,30.39,4963,17.47,14.44,139.0,17.19,8.49,16.54,-12.91,-0.296,1.38,0.9259,-0.0232,0.0753,0.5195,0.4963,0.8854,0.993,0.4649,0.1297,-0.0073,0.452,-0.4739
M_LIFC,LIC MF Large & Midcap Fund,54,30.29,4186,16.68,13.75,114.0,17.21,6.39,17.03,-12.9,-0.2796,1.74,0.9296,-0.0151,0.0751,0.4364,0.5204,0.8636,0.9969,0.4413,0.127,-0.0077,0.5673,-0.3623
M_ICPIL,ICICI Pru Large & Mid Cap Fund,55,30.18,4970,18.53,18.95,140.0,17.61,6.71,17.06,-11.76,-0.1784,4.06,0.8683,-0.0219,0.0677,0.5832,0.5241,0.8861,0.9673,0.327,0.1672,-0.009,0.3509,-0.5174
M_ESLI,Navi Large & Midcap Fund,56,25.67,3899,12.48,13.28,104.0,15.14,5.87,14.46,-14.13,-0.3115,0.87,0.9292,-0.0061,0.0739,0.4398,0.3537,0.8525,0.9997,0.5122,0.0974,-0.0081,0.5839,-0.3453
