mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,gold_part,metals_overfit,alloc_stability,eq_down_prot,return_adequacy
M_NIPU,Nippon India Multi Asset Allocation Fund,1,79.88,2177,20.73,16.73,48.0,17.81,12.19,17.89,-5.69,0.1268,8.25,0.3543,-0.0021,0.0232,1.3163,2.2684,0.6857,1.0,0.5671,0.0669,0.085,0.6457,11.31
M_TATI,Tata Multi Asset Allocation Fund,2,75.1,2352,15.03,13.84,53.0,15.79,12.52,14.28,-6.11,-0.296,7.77,0.4905,-0.0613,0.026,1.5681,1.2088,0.7067,1.0,0.4683,0.0828,0.0491,0.5095,9.29
M_WOMT,WOC Multi Asset Allocation Fund,3,73.1,1183,17.72,,15.0,17.34,15.12,16.11,-2.52,0.2403,13.49,-0.1606,0.0772,0.0064,1.4885,4.7665,0.4054,1.0,0.3799,0.0498,0.0451,1.1606,10.84
M_DSPUI,DSP Multi Asset Allocation Fund,4,72.85,1050,20.41,,11.0,19.38,18.12,21.67,-4.32,0.6434,14.88,-0.0301,-0.0759,0.0149,1.5358,3.3131,0.3333,1.0,0.4393,0.0217,0.0649,1.0301,12.88
M_ADYUO,Aditya Birla SL Multi Asset Allocation Fund,5,62.58,1288,17.73,,19.0,16.02,14.82,14.58,-7.65,0.4377,9.16,0.3615,0.0358,0.0244,0.9546,2.0103,0.4634,1.0,0.4813,0.0707,0.0683,0.6385,9.52
M_QUNS,Quant Multi Asset Allocation Fund,6,61.36,4963,23.5,21.14,139.0,17.8,7.39,18.05,-6.76,0.1711,13.96,0.277,-0.1193,0.0375,0.7608,0.876,0.8634,1.0,0.4429,0.0615,0.3575,0.723,11.3
M_SBTO,SBI Multi Asset Allocation Fund,7,61.09,4900,16.77,14.62,137.0,12.62,9.37,12.37,-3.81,-0.1601,7.31,0.2126,-0.1653,0.0167,0.8652,1.2813,0.8616,1.0,0.3851,0.0562,0.1553,0.7874,6.12
M_KOTUU,Kotak Multi Asset Allocation Fund,8,58.98,1057,19.73,,11.0,17.45,16.83,22.7,-8.08,0.791,12.46,0.3615,-0.0701,0.0335,0.9467,1.6556,0.3333,1.0,0.4437,0.0541,0.1037,0.6385,10.95
M_EDMU,Edelweiss Multi Asset Allocation Fund,9,55.38,1148,7.7,,14.0,7.69,7.29,7.05,-0.51,-0.3818,7.39,-0.1514,-0.0806,0.0011,0.8596,9.7755,0.3889,1.0,0.1901,0.0023,0.0321,1.1514,1.19
M_MAAO,Mahindra Manulife Multi Asset Allocation Fund,10,55.34,882,16.79,,5.0,14.89,14.67,17.14,-6.06,0.9443,13.06,0.2885,-0.0448,0.018,1.0169,2.6806,0.1852,1.0,0.3545,0.0231,0.0611,0.7115,8.39
