mfId,name,rank,score,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,hold_vol,rel_dd,xirr_std,omega,return_adequacy,batting
M_BOIL,Bank of India Small Cap Fund,1,79.3,2793,24.24,21.84,68.0,32.93,14.33,32.81,-13.81,0.8033,10.54,0.7894,0.0908,0.081,0.8703,0.8553,0.8095,0.9959,32.67,0.3728,22.39,2.6633,26.43,0.8235
M_EDEC,Edelweiss Small Cap Fund,2,77.12,2744,18.18,19.54,66.0,30.98,15.15,31.42,-11.76,0.5639,7.2,0.8312,0.0201,0.0764,0.7729,0.5427,0.8049,0.9759,31.08,0.4408,19.99,2.5602,24.48,0.7576
M_INEP,Invesco India Smallcap Fund,3,76.5,2842,25.23,21.81,70.0,30.19,16.59,31.37,-13.56,0.6806,6.87,0.8196,0.0505,0.082,0.7145,0.7301,0.814,0.9484,28.34,0.4546,16.98,2.4464,23.69,0.7143
M_IDFM,Bandhan Small Cap Fund,4,75.2,2359,27.35,21.03,54.0,28.03,10.8,24.13,-13.83,0.4264,10.84,0.7583,0.0254,0.073,1.2853,1.2158,0.7714,0.9115,27.37,0.2959,18.83,3.0091,21.53,0.7778
M_UTSSA,UTI Small Cap Fund,5,74.35,2058,17.05,17.58,44.0,18.43,10.48,17.34,-13.09,-0.0779,3.03,0.7796,-0.0359,0.0616,0.8184,0.8058,0.7333,0.9837,16.3,0.2783,11.51,2.5097,11.93,0.5455
M_AXMC,Axis Small Cap Fund,6,70.22,4641,17.75,18.06,129.0,20.63,11.09,19.84,-12.68,0.4787,7.28,0.7264,-0.0056,0.0652,0.7416,0.5269,0.8897,0.9132,21.49,0.4431,14.59,2.6788,14.13,0.7048
M_TASC,Tata Small Cap Fund,7,70.03,2828,13.43,16.22,69.0,29.6,17.27,30.24,-13.44,0.3833,5.73,0.7674,0.0014,0.095,0.6622,0.4145,0.8118,0.9543,31.93,0.4262,20.08,2.3233,23.1,0.6377
M_PGSE,PGIM India Small Cap Fund,8,66.2,1841,18.25,15.32,37.0,15.66,10.27,16.0,-12.55,-0.0749,2.19,0.788,0.0019,0.0768,0.5071,0.8268,0.6981,1.0033,12.89,0.2904,8.65,1.9821,9.16,0.3514
M_CANM,Canara Rob Small Cap Fund,9,64.76,2737,15.46,17.96,66.0,30.93,13.15,30.87,-11.9,0.2762,4.5,0.8503,-0.003,0.0827,0.687,0.4569,0.8049,0.9492,32.69,0.4452,22.94,2.3803,24.43,0.6364
M_MAAI,Mahindra Manulife Small Cap Fund,10,61.93,1337,22.39,,20.0,13.23,5.46,4.75,-18.73,0.9708,7.92,0.7376,0.0263,0.0819,1.1665,0.8717,0.5556,0.9846,9.06,0.3379,11.71,2.9583,6.73,1.0
