mfId,name,rank,score,subsector,data_days,cagr_3y,cagr_5y,n_windows,xirr_mean,xirr_p25,hold_ret,hold_dd,info_ratio,residual_alpha,downside_capture,rebound,ulcer,sortino,calmar,shrink_lambda,aum_factor,batting,style_purity,capture_spread,omega
M_MAHD,Mahindra Manulife Focused Fund,1,88.6,Focused Fund,2093,16.1,15.73,45.0,19.93,11.09,19.48,-9.59,1.1594,6.5,0.8231,-0.0697,0.0514,1.0676,0.9778,0.7377,0.9978,1.0,0.0155,0.326,2.8628
M_AXVV,Axis Value Fund,2,87.99,Value Fund,1785,20.57,17.27,35.0,24.14,14.2,23.92,-9.79,1.6219,6.17,0.8829,-0.0267,0.0567,0.6499,1.058,0.6863,0.9982,1.0,0.3223,0.4237,2.2622
M_DSPVE,DSP Value Fund,3,87.77,Value Fund,2072,18.37,14.23,44.0,17.42,10.95,18.2,-7.53,0.2971,7.41,0.4674,0.0607,0.0382,0.9773,1.1742,0.7333,0.9979,0.9773,0.3357,0.1798,3.123
M_ICIXD,ICICI Pru Flexicap Fund,4,83.83,Flexi Cap Fund,1848,19.46,17.15,37.0,19.88,14.88,19.58,-10.63,1.0185,5.87,0.8098,0.0088,0.0558,0.6974,0.9873,0.6981,0.9759,1.0,0.0346,0.2776,2.4854
M_AXNM,Axis Multicap Fund,5,82.56,Multi Cap Fund,1701,22.03,17.19,32.0,24.3,12.07,23.79,-10.65,1.0931,4.96,0.8389,0.0808,0.0566,0.6861,1.2214,0.6667,0.9895,1.0,0.2996,0.3398,2.2581
M_PARO,Parag Parikh Flexi Cap Fund,6,81.76,Flexi Cap Fund,4823,15.23,13.76,135.0,18.98,9.47,17.83,-9.36,0.4364,9.01,0.6175,-0.0885,0.0459,0.7233,0.5577,0.894,0.93,0.9111,0.1735,-0.1496,2.8829
M_KOTMU,Kotak Multicap Fund,7,81.36,Multi Cap Fund,1778,19.52,17.42,35.0,25.43,13.09,24.84,-11.4,1.5725,5.38,0.9557,0.1243,0.0591,0.6422,0.9395,0.6863,0.9707,1.0,0.086,0.5087,2.1827
M_INXO,Invesco India Flexi Cap Fund,8,80.11,Flexi Cap Fund,1638,20.62,18.39,30.0,23.63,11.69,21.68,-12.33,0.9357,4.84,0.843,0.0835,0.0581,0.7104,1.0874,0.6522,0.9945,1.0,0.3033,0.3239,2.4381
M_BOIX,Bank of India Flexi Cap Fund,9,79.13,Flexi Cap Fund,2233,22.32,18.48,50.0,21.23,8.94,19.25,-13.19,1.0634,3.37,0.9461,0.1347,0.0636,1.1496,0.9599,0.7576,0.9972,0.94,0.2818,0.6092,3.0262
M_CAFF,Canara Rob Focused Fund,10,78.41,Focused Fund,1911,15.12,13.9,39.0,17.99,12.36,17.87,-9.92,0.6867,4.17,0.8227,0.005,0.0549,0.607,0.8509,0.7091,0.9971,0.9744,0.0746,0.1606,2.307
M_WOCE,WOC Flexi Cap Fund,11,77.58,Flexi Cap Fund,1470,17.24,17.8,24.0,17.83,7.73,13.15,-11.64,1.1508,4.81,0.7657,0.0122,0.0448,0.8006,1.1292,0.6,0.9909,1.0,0.1718,0.3124,2.6202
M_CAVO,Canara Rob Value Fund,12,76.63,Value Fund,1806,13.8,14.79,36.0,19.39,9.58,17.86,-10.17,1.125,4.7,0.8336,-0.0332,0.0575,0.6184,0.7294,0.6923,0.9987,0.8889,0.0558,0.2276,2.2624
M_IDFUM,Bandhan Multi Cap Fund,13,74.51,Multi Cap Fund,1715,15.56,14.86,33.0,19.46,9.21,18.38,-10.44,1.2582,3.63,0.8813,0.0197,0.0544,0.5728,0.8559,0.6735,0.9969,1.0,0.2891,0.2172,2.1476
M_ITFC,ITI Focused Fund,14,74.32,Focused Fund,1148,20.96,,14.0,12.31,9.21,9.5,-13.51,1.3997,6.05,0.7542,0.095,0.0473,0.7537,1.1367,0.4667,0.9994,1.0,0.3261,0.4158,2.7865
M_BANK,Bank of India Multi Cap Fund,15,73.76,Multi Cap Fund,1260,20.47,,18.0,12.04,8.3,7.02,-14.98,1.5723,5.53,0.8903,0.2181,0.052,1.0404,1.0407,0.5294,0.9987,1.0,0.5325,0.5056,3.0391
M_MADN,Mahindra Manulife Multi Cap Fund,16,73.52,Multi Cap Fund,3381,19.47,18.11,87.0,21.23,8.15,22.06,-13.62,0.9935,5.68,0.9525,0.0435,0.0682,0.6065,0.6368,0.8447,0.9931,0.977,0.4711,0.4652,2.2292
M_WOMI,WOC Multi Cap Fund,17,73.51,Multi Cap Fund,1057,20.43,,11.0,11.12,8.08,9.0,-12.67,1.6,7.65,0.7351,0.133,0.0487,0.8196,1.2435,0.4074,0.9959,1.0,0.4115,0.4545,2.664
M_ADYUM,Aditya Birla SL Multi-Cap Fund,18,72.39,Multi Cap Fund,1925,16.47,14.72,39.0,17.46,9.76,18.06,-10.63,0.9223,3.07,0.8874,0.0528,0.0588,0.5971,0.8283,0.7091,0.9928,1.0,0.3449,0.2317,2.258
M_LITI,LIC MF Multi Cap Fund,19,71.99,Multi Cap Fund,1379,20.32,,22.0,17.49,9.03,11.61,-14.31,1.1521,4.07,0.8911,0.135,0.0481,0.7472,1.0725,0.5789,0.9979,1.0,0.4541,0.4666,2.4842
M_LTNA,HSBC Value Fund,20,71.93,Value Fund,4970,18.84,18.06,140.0,21.13,10.4,20.37,-13.61,1.0201,2.91,0.9768,-0.0105,0.0812,0.6595,0.4699,0.8974,0.985,0.7857,0.3725,0.8605,2.3021
M_HSUA,HSBC Multi Cap Fund,21,71.35,Multi Cap Fund,1288,21.0,,19.0,13.07,6.63,5.55,-15.4,1.4789,5.1,0.899,0.0746,0.0515,0.9897,1.0684,0.5429,0.9939,1.0,0.4624,0.5809,2.9694
M_QUVN,Quant Value Fund,22,70.88,Value Fund,1715,22.52,20.46,33.0,26.21,8.62,26.54,-13.06,0.9763,5.89,1.0436,0.0571,0.0847,0.7543,0.9612,0.6735,0.9981,0.7576,0.4027,0.7931,2.1056
M_SBIUC,SBI Multicap Fund,23,69.88,Multi Cap Fund,1617,15.18,14.25,29.0,18.32,10.1,16.55,-9.83,0.4913,2.68,0.7852,0.0406,0.0438,0.6059,1.0301,0.6444,0.9759,0.8621,0.0812,0.1122,2.1732
M_ICCYV,ICICI Pru Value Fund,24,69.85,Value Fund,4970,14.51,16.79,140.0,19.66,8.24,18.38,-10.79,0.6115,5.95,0.8697,-0.1012,0.0639,0.7502,0.4372,0.8974,0.9449,0.7357,0.0752,0.002,2.4524
M_ITFF,ITI Flexi Cap Fund,25,69.57,Flexi Cap Fund,1274,20.42,,18.0,11.86,6.93,5.75,-16.4,1.6066,6.41,0.926,0.1361,0.0574,1.0258,0.9537,0.5294,0.9985,1.0,0.1098,0.5464,3.0357
M_INTT,Invesco India Contra Fund,26,69.54,Contra Fund,4970,17.35,15.28,140.0,20.06,9.15,18.96,-12.86,1.0599,2.65,0.9717,0.0001,0.0688,0.5943,0.5256,0.8974,0.9799,0.9571,0.1869,0.5813,2.2351
M_KOQN,Kotak Contra Fund,27,68.99,Contra Fund,4970,18.11,16.4,140.0,18.11,9.17,17.77,-12.27,0.8864,4.0,0.9483,-0.0049,0.065,0.5493,0.5192,0.8974,0.9946,0.9857,0.1774,0.197,2.2657
M_BAFN,Bajaj Finserv Flexi Cap Fund,28,68.66,Flexi Cap Fund,1092,18.19,,12.0,10.32,7.47,7.99,-12.1,1.2788,6.26,0.768,0.1193,0.0514,0.665,1.0531,0.4286,0.9922,1.0,0.1863,0.3503,2.5973
M_UNOY,Union Value Fund,29,68.44,Value Fund,2807,14.78,14.67,68.0,21.35,12.06,21.88,-11.14,0.5187,2.56,0.9564,0.0024,0.0659,0.5256,0.4485,0.8095,0.9996,1.0,0.1878,0.1145,2.0971
M_HDCUI,HDFC Multi Cap Fund,30,67.97,Multi Cap Fund,1708,14.36,16.17,32.0,21.5,7.98,19.5,-11.49,1.3232,4.0,0.9429,0.0744,0.0651,0.6462,0.7136,0.6667,0.9794,0.8125,0.2404,0.3411,2.1489
M_QUTO,Quant Flexi Cap Fund,31,66.94,Flexi Cap Fund,4963,17.86,17.05,139.0,22.61,5.87,21.61,-13.76,0.5987,6.48,0.9837,0.0225,0.1006,0.6982,0.5078,0.8968,0.9927,0.7698,0.6036,1.0036,2.0809
M_KOTY,Kotak Focused Fund,32,66.79,Focused Fund,2583,17.46,14.62,61.0,19.74,11.08,18.22,-10.8,0.558,3.47,0.9242,-0.0175,0.0724,0.4785,0.522,0.7922,0.9957,0.8689,0.2596,0.0777,2.2532
M_UNMI,Union Multicap Fund,33,66.01,Multi Cap Fund,1330,17.34,,20.0,12.28,8.19,7.42,-14.58,1.2665,2.64,0.8911,0.1404,0.054,0.785,0.8946,0.5556,0.9985,1.0,0.4719,0.3833,2.5781
M_INVC,Invesco India Focused Fund,34,65.45,Focused Fund,2142,23.62,17.23,47.0,20.5,5.41,19.53,-12.6,0.6341,3.02,0.8314,0.0055,0.0806,0.9571,1.0743,0.746,0.9939,0.617,0.178,0.2703,2.7011
M_EDFC,Edelweiss Focused Fund,35,65.2,Focused Fund,1470,15.69,15.97,24.0,16.25,6.75,11.9,-12.08,0.7918,2.99,0.8517,-0.0519,0.0494,0.5832,0.9393,0.6,0.999,1.0,0.3371,0.2052,2.3988
M_QUNC,Quant Multi Cap Fund,36,64.35,Multi Cap Fund,4963,12.08,13.88,139.0,21.37,8.16,20.22,-13.69,0.6975,3.67,0.9318,-0.0088,0.0803,0.714,0.3898,0.8968,0.9923,0.7914,0.2453,0.4479,2.2344
M_SBFQ,SBI Focused Fund,37,63.33,Focused Fund,4970,17.4,13.94,140.0,17.91,10.99,17.52,-11.67,0.3594,5.28,0.8571,-0.007,0.0752,0.5394,0.6075,0.8974,0.95,0.7286,0.3616,-0.1696,2.1622
M_360E,360 ONE Flexicap Fund,38,62.61,Flexi Cap Fund,1141,20.03,,14.0,8.72,3.64,3.19,-12.86,1.2116,4.8,0.8428,0.0639,0.0589,0.76,1.2092,0.4667,0.9978,1.0,0.394,0.3723,2.6217
