timestamp,Altiva Hybrid Long-Short Fund,Magnum Hybrid Long Short Fund,iSIF Equity Ex-Top 100 Long-Short Fund,iSIF Hybrid Long-Short Fund,iSIF Active Asset Allocator Long-Short Fund,Qsif Equity Long-Short Fund,RedHex Hybrid Long-Short Fund,Titanium Hybrid Long-Short Fund,Altiva Equity Ex-Top 100 Long-Short Fund,Diviniti Equity Long Short Fund,DynaSIF Equity Long-Short Fund,iSIF Equity Long-Short Fund,Qsif Equity Ex-Top 100 Long-Short Fund,Titanium Equity Long-Short Fund,DynaSIF Active Asset Allocator Long-Short Fund,Qsif Hybrid Long-Short Fund,Arthaya Equity Long Short Fund,Arudha Hybrid Long-Short Fund,Arudha Equity Long-Short Fund,Apex Hybrid Long-Short Fund,Qsif Active Asset Allocator Long-Short Fund,WSIF Equity Long-Short Fund,WSIF Equity Ex-Top 100 Long-Short Fund,Sapphire Equity Long-Short SIF,Qsif Sector Rotation Long-Short Fund,Platinum Hybrid Long-Short Fund,DynaSIF Equity Ex-Top 100 Long-Short Fund,Infinity Hybrid Long-Short Fund
2025-10-07 00:00:00+00:00,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,
2025-10-08 00:00:00+00:00,,,,,,10.0054,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 00:00:00+00:00,,,,,,10.0153,,,,,,,,,,,,,,,,,,,,,,
2025-10-10 00:00:00+00:00,,,,,,10.0169,,,,,,,,,,,,,,,,,,,,,,
2025-10-13 00:00:00+00:00,,,,,,10.0226,,,,,,,,,,,,,,,,,,,,,,
2025-10-14 00:00:00+00:00,,,,,,10.0181,,,,,,,,,,,,,,,,,,,,,,
2025-10-15 00:00:00+00:00,,,,,,10.0253,,,,,,,,,,,,,,,,,,,,,,
2025-10-16 00:00:00+00:00,,,,,,10.0524,,,,,,,,,,,,,,,,,,,,,,
2025-10-17 00:00:00+00:00,,,,,,10.0497,,,,,,,,,,,,,,,,,,,,,,
2025-10-20 00:00:00+00:00,,,,,,10.0953,,,,,,,,,,,,,,,,,,,,,,
2025-10-23 00:00:00+00:00,,,,,,10.1081,,,,,,,,,,10.0262,,,,,,,,,,,,
