date,NIFTY 50,NIFTY 500,NIFTY Midcap 150,NIFTY Smallcap 250,Gold,Mid Cap,Mid Cap_Claude,Mid Cap_GPT,Mid Cap_Gemini,Mid Cap_Grok,Multi Asset,Multi Asset_Claude,Multi Asset_GPT,Multi Asset_Gemini,Multi Asset_Grok,Small Cap,Small Cap_Claude,Small Cap_GPT,Small Cap_Gemini,Small Cap_Grok,Total Market,Total Market_Claude,Total Market_GPT,Total Market_Gemini,Total Market_Grok
2026-05-11,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18,18.18,31.98,77.55,17.73,54.91,72.15,83.65,82.06,86.99,101.64,30.32,27.15,19.67,13.56,12.68,69.28,54.68,39.98,38.20,43.78,19.25,22.18,31.78,32.64,36.85
2026-05-25,-17.87,10.67,34.38,64.99,-29.58,28.16,34.51,35.26,29.77,52.58,7.91,20.43,5.94,2.82,7.11,103.02,91.65,113.64,116.00,35.63,11.70,1.00,23.50,19.21,23.90
2026-06-01,-25.91,-15.72,-20.08,41.40,-29.70,-8.18,11.91,3.04,-8.27,-0.78,-13.08,-2.26,-7.57,-12.80,-5.92,55.57,63.60,67.00,59.09,27.93,-11.91,-14.56,-6.94,-3.87,-0.98
2026-06-07,-17.35,-10.30,-13.28,24.71,-20.06,-5.28,7.43,1.93,-5.35,-0.50,-8.53,-1.45,-4.88,-8.34,-3.81,32.55,36.89,38.70,34.46,16.99,-7.75,-9.52,-4.47,-2.48,-0.62
2026-06-15,42.04,55.91,58.35,119.80,-71.66,83.87,100.28,83.78,86.84,99.92,11.39,16.15,9.08,14.87,9.31,151.36,142.95,169.67,148.99,122.95,45.02,61.07,70.06,74.76,66.88
2026-06-22,32.06,34.90,20.54,74.86,-78.09,48.02,58.36,49.25,51.05,49.57,0.05,4.22,-0.38,7.89,-2.64,83.81,86.99,98.88,91.44,69.10,31.94,44.30,41.54,60.78,41.02
2026-06-29,38.28,39.03,24.12,87.95,-41.20,56.39,73.95,65.83,64.70,51.30,17.44,24.78,16.34,22.98,14.71,91.50,94.46,102.39,99.47,78.40,36.08,53.88,42.72,64.09,52.29
2026-07-06,24.92,32.36,36.24,76.93,-46.47,60.42,77.67,69.84,67.29,56.54,14.05,16.19,13.87,16.48,11.37,93.16,93.33,102.77,87.94,82.76,33.98,48.90,41.34,52.48,48.83
2026-07-13,26.20,24.54,17.22,48.07,-50.88,32.97,44.61,39.23,41.42,30.59,9.03,12.04,9.45,11.77,7.16,55.45,58.10,64.39,58.34,45.75,26.61,36.38,30.80,42.02,39.58
2026-07-20,-3.13,0.73,1.34,11.58,-33.32,11.74,18.00,16.85,14.16,10.01,-1.28,1.73,-0.51,-0.51,-2.27,31.37,32.87,38.90,31.99,21.20,2.61,6.57,6.81,19.05,13.78
2026-07-27,21.53,23.39,19.98,27.92,-32.76,28.38,35.58,36.11,31.82,24.61,9.57,8.75,10.90,11.31,8.95,41.89,41.54,48.62,40.33,34.66,25.26,29.68,29.18,45.49,32.66
2026-08-03,25.37,29.96,25.99,47.95,8.97,37.01,44.93,42.73,40.59,35.70,20.89,19.14,22.00,20.80,22.04,67.94,66.27,74.51,61.67,57.25,37.54,40.46,43.64,56.69,45.57
2026-08-10,14.14,20.81,24.22,36.46,19.69,32.04,37.83,37.39,37.08,31.90,19.57,17.65,20.76,16.94,20.50,63.54,62.68,73.15,58.18,51.59,31.83,31.88,36.14,47.41,40.29
2026-08-17,8.57,15.57,20.20,37.57,62.30,31.45,37.53,36.07,37.61,31.89,21.18,19.35,22.22,17.91,21.99,66.37,66.44,74.75,63.43,53.78,29.44,29.07,35.22,43.06,36.48
2026-08-24,6.52,13.01,18.03,31.09,66.05,27.40,32.71,31.72,32.46,27.35,18.54,17.00,19.36,15.56,19.24,54.18,54.81,61.57,53.48,43.24,23.92,23.62,29.25,34.97,30.51
